Scientific_name,English_name_AviList,Portuguese (Portugal),IUCN_Red_List_Category
Nucifraga multipunctata,Kashmir Nutcracker,Kashmir nutcracker,LC
Coloeus,,,
Coloeus dauuricus,Daurian Jackdaw,Gralha-dáurica,LC
Coloeus monedula,Western Jackdaw,Gralha-de-nuca-cinzenta,LC
Coloeus monedula monedula,,,
Coloeus monedula spermologus,,,
Coloeus monedula soemmerringii,,,
Coloeus monedula cirtensis,,,
Corvus,,,
Corvus nasicus,Cuban Crow,Cuban crow,LC
Corvus jamaicensis,Jamaican Crow,Jamaican crow,NT
Corvus leucognaphalus,White-necked Crow,White-necked crow,VU
Corvus palmarum,Hispaniolan Palm Crow,Hispaniolan palm-crow,NE
Corvus minutus,Cuban Palm Crow,Cuban palm-crow,NE
Corvus ossifragus,Fish Crow,Fish crow,LC
Corvus imparatus,Tamaulipas Crow,Tamaulipas crow,LC
Corvus sinaloae,Sinaloa Crow,Sinaloa crow,LC
Corvus capensis,Cape Crow,Cape crow,LC
Corvus capensis kordofanensis,,,
Corvus capensis capensis,,,
Corvus hawaiiensis,Hawaiian Crow,Hawaiian crow,EW
Corvus frugilegus,Rook,Gralha-calva,LC
Corvus frugilegus frugilegus,,,
Corvus frugilegus pastinator,,,
Corvus albicollis,White-necked Raven,White-necked raven,LC
Corvus crassirostris,Thick-billed Raven,Thick-billed raven,LC
Corvus ruficollis,Brown-necked Raven,Corvo-do-deserto,LC
Corvus albus,Pied Crow,Corvo-de-barriga-branca,LC
Corvus edithae,Somali Crow,Somali crow,LC
Corvus cryptoleucus,Chihuahuan Raven,Chihuahuan raven,LC
Corvus rhipidurus,Fan-tailed Raven,Corvo-de-cauda-curta,LC
Corvus rhipidurus stanleyi,,,
Corvus rhipidurus rhipidurus,,,
Corvus corax,Northern Raven,Corvo,LC
Corvus corax principalis,,,
Corvus corax sinuatus,,,
Corvus corax clarionensis,,,
Corvus corax varius,,,
Corvus corax corax,,,
Corvus corax hispanus,,,
Corvus corax laurencei,,,
Corvus corax tingitanus,,,
Corvus corax canariensis,,,
Corvus corax tibetanus,,,
Corvus corax kamtschaticus,,,
Corvus brachyrhynchos,American Crow,American crow,NE
Corvus brachyrhynchos caurinus,,,
Corvus brachyrhynchos hesperis,,,
Corvus brachyrhynchos hargravei,,,
Corvus brachyrhynchos brachyrhynchos,,,
Corvus brachyrhynchos pascuus,,,
Corvus torquatus,Collared Crow,Collared crow,VU
Corvus corone,Carrion Crow,,LC
Corvus corone corone,,,
Corvus corone cornix,,,
Corvus corone sharpii,,,
Corvus corone pallescens,,,
Corvus corone capellanus,,,
Corvus corone orientalis,,,
Corvus florensis,Flores Crow,Flores crow,NT
Corvus splendens,House Crow,Gralha-indiana,LC
Corvus splendens zugmayeri,,,
Corvus splendens splendens,,,
Corvus splendens protegatus,,,
Corvus splendens maledivicus,,,
Corvus splendens insolens,,,
Corvus kubaryi,Mariana Crow,Mariana crow,CR
Corvus philippinus,Philippine Jungle Crow,Philippine jungle crow,NE
Corvus macrorhynchos,Large-billed Crow,Corvo-de-bico-grosso,NE
Corvus macrorhynchos japonensis,,,
Corvus macrorhynchos connectens,,,
Corvus macrorhynchos osai,,,
Corvus macrorhynchos mandshuricus,,,
Corvus macrorhynchos colonorum,,,
Corvus macrorhynchos tibetosinensis,,,
Corvus macrorhynchos intermedius,,,
Corvus macrorhynchos macrorhynchos,,,
Corvus macrorhynchos levaillantii,,,
Corvus macrorhynchos culminatus,,,
Corvus typicus,Piping Crow,Piping crow,LC
Corvus unicolor,Banggai Crow,Banggai crow,CR
Corvus enca,Sunda Crow,Sunda crow,NE
Corvus enca compilator,,,
Corvus enca enca,,,
Corvus sierramadrensis,Sierra Madre Crow,Sierra madre crow,NE
Corvus samarensis,Samar Crow,Samar crow,NE
Corvus celebensis,Sulawesi Crow,Sulawesi crow,NE
Corvus celebensis celebensis,,,
Corvus celebensis mangoli,,,
Corvus pusillus,Palawan Crow,Palawan crow,NE
Corvus validus,Long-billed Crow,Long-billed crow,LC
Corvus moneduloides,New Caledonian Crow,New caledonian crow,LC
Corvus woodfordi,White-billed Crow,Guadalcanal crow,LC
Corvus meeki,Bougainville Crow,Bougainville crow,LC
Corvus violaceus,Violet Crow,Violet crow,LC
Corvus fuscicapillus,Brown-headed Crow,Brown-headed crow,LC
Corvus tristis,Grey Crow,Gray crow,LC
Corvus coronoides,Australian Raven,Australian raven,LC
Corvus coronoides coronoides,,,
Corvus coronoides perplexus,,,
Corvus mellori,Little Raven,Little raven,LC
Corvus tasmanicus,Forest Raven,Forest raven,LC
Corvus tasmanicus boreus,,,
Corvus tasmanicus tasmanicus,,,
Corvus insularis,Bismarck Crow,Bismarck crow,LC
Corvus bennetti,Little Crow,Little crow,LC
Corvus orru,Torresian Crow,Torresian crow,LC
Corvus orru latirostris,,,
Corvus orru orru,,,
Corvus orru cecilae,,,
Cnemophilidae,,,
Loboparadisea,,,
Loboparadisea sericea,Yellow-breasted Satinbird,Yellow-breasted satinbird,LC
Loboparadisea sericea sericea,,,
Loboparadisea sericea aurora,,,
Cnemophilus,,,
Cnemophilus loriae,Loria's Satinbird,Loria's satinbird,LC
Cnemophilus macgregorii,Crested Satinbird,Crested satinbird,NE
Cnemophilus macgregorii sanguineus,,,
Cnemophilus macgregorii macgregorii,,,
Melanocharitidae,,,
Toxorhamphus,,,
Toxorhamphus poliopterus,Slaty-headed Longbill,Slaty-chinned longbill,LC
Toxorhamphus novaeguineae,Yellow-bellied Longbill,Yellow-bellied longbill,LC
Toxorhamphus novaeguineae novaeguineae,,,
Toxorhamphus novaeguineae flaviventris,,,
Oedistoma,,,
Oedistoma pygmaeum,Pygmy Longbill,Pygmy longbill,LC
Oedistoma pygmaeum pygmaeum,,,
Oedistoma pygmaeum meeki,,,
Oedistoma iliolophus,Spectacled Longbill,Spectacled longbill,LC
Oedistoma iliolophus cinerascens,,,
Oedistoma iliolophus iliolophus,,,
Oedistoma iliolophus fergussonis,,,
Melanocharis,,,
Melanocharis arfakiana,Obscure Berrypecker,Obscure berrypecker,LC
Melanocharis nigra,Black Berrypecker,Black berrypecker,LC
Melanocharis nigra pallida,,,
Melanocharis nigra nigra,,,
Melanocharis nigra unicolor,,,
Melanocharis nigra chloroptera,,,
Melanocharis longicauda,Mid-mountain Berrypecker,Mid-mountain berrypecker,LC
Melanocharis longicauda longicauda,,,
Melanocharis longicauda captata,,,
Melanocharis longicauda orientalis,,,
Melanocharis versteri,Fan-tailed Berrypecker,Fan-tailed berrypecker,LC
Melanocharis versteri versteri,,,
Melanocharis versteri meeki,,,
Melanocharis versteri maculiceps,,,
Melanocharis citreola,Satin Berrypecker,Satin berrypecker,LC
Melanocharis striativentris,Streaked Berrypecker,Streaked berrypecker,LC
Melanocharis striativentris axillaris,,,
Melanocharis striativentris striativentris,,,
Melanocharis crassirostris,Thick-billed Berrypecker,Thick-billed berrypecker,LC
Melanocharis crassirostris crassirostris,,,
Melanocharis crassirostris interposita,,,
Melanocharis piperata,Spotted Berrypecker,Spotted berrypecker,LC
Notiomystidae,,,
Notiomystis,,,
Notiomystis cincta,Stitchbird,Stitchbird,VU
Notiomystis cincta hautura,,,
Notiomystis cincta cincta,,,
Callaeidae,,,
Callaeas,,,
Callaeas cinereus,South Island Kokako,South island kokako,CR (PE)
Callaeas wilsoni,North Island Kokako,North island kokako,LC
Heteralocha,,,
Heteralocha acutirostris,Huia,Huia,EX
Philesturnus,,,
Philesturnus carunculatus,South Island Saddleback,South island saddleback,LC
Philesturnus rufusater,North Island Saddleback,North island saddleback,NT
Eupetidae,,,
Eupetes,,,
Eupetes macrocerus,Rail-babbler,Malaysian rail-babbler,NT
Eupetes macrocerus borneensis,,,
Eupetes macrocerus macrocerus,,,
Chaetopidae,,,
Chaetops,,,
Chaetops frenatus,Cape Rockjumper,Cape rockjumper,NT
Chaetops aurantius,Drakensberg Rockjumper,Drakensberg rockjumper,NT
Picathartidae,,,
Picathartes,,,
Picathartes gymnocephalus,White-necked Rockfowl,White-necked rockfowl,VU
Picathartes oreas,Grey-necked Rockfowl,Gray-necked rockfowl,NT
Petroicidae,,,
Amalocichla,,,
Amalocichla incerta,Lesser Ground Robin,Lesser ground-robin,LC
Amalocichla incerta incerta,,,
Amalocichla incerta brevicauda,,,
Amalocichla sclateriana,Greater Ground Robin,Greater ground-robin,LC
Amalocichla sclateriana occidentalis,,,
Amalocichla sclateriana sclateriana,,,
Pachycephalopsis,,,
Pachycephalopsis poliosoma,White-eyed Robin,White-eyed robin,LC
Pachycephalopsis poliosoma approximans,,,
Pachycephalopsis poliosoma hunsteini,,,
Pachycephalopsis poliosoma hypopolia,,,
Pachycephalopsis poliosoma poliosoma,,,
Pachycephalopsis hattamensis,Green-backed Robin,Green-backed robin,LC
Pachycephalopsis hattamensis hattamensis,,,
Pachycephalopsis hattamensis ernesti,,,
Pachycephalopsis hattamensis insularis,,,
Pachycephalopsis hattamensis lecroyae,,,
Eugerygone,,,
Eugerygone rubra,Garnet Robin,Garnet robin,LC
Petroica,,,
Petroica macrocephala,Tomtit,Tomtit,NE
Petroica macrocephala toitoi,,,
Petroica macrocephala macrocephala,,,
Petroica macrocephala dannefaerdi,,,
Petroica macrocephala chathamensis,,,
Petroica macrocephala marrineri,,,
Petroica traversi,Black Robin,Black robin,VU
Petroica longipes,North Island Robin,North island robin,LC
Petroica australis,South Island Robin,South island robin,LC
Petroica australis australis,,,
Petroica australis rakiura,,,
Petroica bivittata,Mountain Robin,Subalpine robin,LC
Petroica bivittata caudata,,,
Petroica bivittata bivittata,,,
Petroica archboldi,Snow Mountain Robin,Snow mountain robin,NT
Petroica multicolor,Norfolk Robin,Norfolk robin,EN
Petroica goodenovii,Red-capped Robin,Red-capped robin,LC
Petroica polymorpha,Solomons Robin,Solomons robin,NE
Petroica polymorpha septentrionalis,,,
Petroica polymorpha kulambangrae,,,
Petroica polymorpha dennisi,,,
Petroica polymorpha polymorpha,,,
Petroica pusilla,Pacific Robin,Pacific robin,NE
Petroica pusilla soror,,,
Petroica pusilla ambrynensis,,,
Petroica pusilla feminina,,,
Petroica pusilla cognata,,,
Petroica pusilla tannensis,,,
Petroica pusilla similis,,,
Petroica pusilla kleinschmidti,,,
Petroica pusilla taveunensis,,,
Petroica pusilla becki,,,
Petroica pusilla pusilla,,,
Petroica rosea,Rose Robin,Rose robin,LC
Petroica rodinogaster,Pink Robin,Pink robin,LC
Petroica rodinogaster inexpectata,,,
Petroica rodinogaster rodinogaster,,,
Petroica phoenicea,Flame Robin,Flame robin,LC
Petroica boodang,Scarlet Robin,Scarlet robin,LC
Petroica boodang leggii,,,
Petroica boodang campbelli,,,
Petroica boodang boodang,,,
Devioeca,,,
Devioeca papuana,Canary Flyrobin,Canary flyrobin,LC
Kempiella,,,
Kempiella flavovirescens,Olive Flyrobin,Olive flyrobin,LC
Kempiella griseoceps,Yellow-legged Flyrobin,Yellow-legged flyrobin,LC
Kempiella griseoceps occidentalis,,,
Kempiella griseoceps griseoceps,,,
Kempiella griseoceps kempi,,,
Cryptomicroeca,,,
Cryptomicroeca flaviventris,Yellow-bellied Flyrobin,Yellow-bellied flyrobin,LC
Monachella,,,
Monachella muelleriana,Torrent Flyrobin,Torrent flyrobin,NE
Monachella muelleriana muelleriana,,,
Monachella muelleriana coultasi,,,
Microeca,,,
Microeca hemixantha,Golden-bellied Flyrobin,Golden-bellied flyrobin,NT
Microeca flavigaster,Lemon-bellied Flyrobin,Lemon-bellied flyrobin,NE
Microeca flavigaster laeta,,,
Microeca flavigaster tarara,,,
Microeca flavigaster flavissima,,,
Microeca flavigaster laetissima,,,
Microeca flavigaster flavigaster,,,
Microeca flavigaster tormenti,,,
Microeca fascinans,Jacky Winter,Jacky-winter,LC
Microeca fascinans zimmeri,,,
Microeca fascinans pallida,,,
Microeca fascinans fascinans,,,
Microeca fascinans assimilis,,,
Drymodes,,,
Drymodes brunneopygia,Southern Scrub Robin,Southern scrub-robin,LC
Drymodes superciliaris,Northern Scrub Robin,Northern scrub-robin,LC
Drymodes beccarii,Papuan Scrub Robin,Papuan scrub-robin,LC
Drymodes beccarii beccarii,,,
Drymodes beccarii nigriceps,,,
Heteromyias,,,
Heteromyias cinereifrons,Grey-headed Robin,Gray-headed robin,NT
Heteromyias armiti,Black-capped Robin,Black-capped robin,LC
Heteromyias armiti rothschildi,,,
Heteromyias armiti armiti,,,
Heteromyias albispecularis,Ashy Robin,Arfak robin,LC
Plesiodryas,,,
Plesiodryas albonotata,Black-throated Robin,Black-throated robin,LC
Plesiodryas albonotata albonotata,,,
Plesiodryas albonotata griseiventris,,,
Plesiodryas albonotata correcta,,,
Leucophantes,,,
Leucophantes brachyurus,Black-chinned Robin,Black-chinned robin,LC
Leucophantes brachyurus brachyurus,,,
Leucophantes brachyurus albotaeniatus,,,
Leucophantes brachyurus dumasi,,,
Poecilodryas,,,
Poecilodryas hypoleuca,Black-sided Robin,Black-sided robin,LC
Poecilodryas hypoleuca steini,,,
Poecilodryas hypoleuca hypoleuca,,,
Poecilodryas hypoleuca hermani,,,
Poecilodryas superciliosa,White-browed Robin,White-browed robin,LC
Poecilodryas cerviniventris,Buff-sided Robin,Buff-sided robin,LC
Eopsaltria,,,
Eopsaltria placens,Banded Yellow Robin,Banded yellow robin,LC
Eopsaltria australis,Eastern Yellow Robin,Eastern yellow robin,LC
Eopsaltria australis chrysorrhos,,,
Eopsaltria australis australis,,,
Eopsaltria griseogularis,Western Yellow Robin,Western yellow robin,LC
Eopsaltria griseogularis griseogularis,,,
Eopsaltria griseogularis rosinae,,,
Eopsaltria georgiana,White-breasted Robin,White-breasted robin,LC
Eopsaltria capito,Pale-yellow Robin,Pale-yellow robin,LC
Eopsaltria capito nana,,,
Eopsaltria capito capito,,,
Eopsaltria leucops,White-faced Robin,White-faced robin,LC
Eopsaltria leucops leucops,,,
Eopsaltria leucops mayri,,,
Eopsaltria leucops heurni,,,
Eopsaltria leucops nigroorbitalis,,,
Eopsaltria leucops nigriceps,,,
Eopsaltria leucops melanogenys,,,
Eopsaltria leucops wahgiensis,,,
Eopsaltria leucops albifacies,,,
Eopsaltria leucops auricularis,,,
Eopsaltria leucops albigularis,,,
Melanodryas,,,
Melanodryas vittata,Dusky Robin,Dusky robin,VU
Melanodryas vittata vittata,,,
Melanodryas vittata kingi,,,
Melanodryas cucullata,Hooded Robin,Hooded robin,LC
Melanodryas cucullata melvillensis,,,
Melanodryas cucullata picata,,,
Melanodryas cucullata cucullata,,,
Melanodryas cucullata westralensis,,,
Melanodryas bimaculata,White-rumped Robin,White-rumped robin,LC
Melanodryas bimaculata bimaculata,,,
Melanodryas bimaculata vicaria,,,
Melanodryas pulverulenta,Mangrove Robin,Mangrove robin,LC
Melanodryas pulverulenta pulverulenta,,,
Melanodryas pulverulenta leucura,,,
Melanodryas pulverulenta alligator,,,
Melanodryas pulverulenta cinereiceps,,,
Melanodryas sigillata,White-winged Robin,White-winged robin,LC
Melanodryas sigillata saruwagedi,,,
Melanodryas sigillata quadrimaculata,,,
Melanodryas sigillata sigillata,,,
Melanodryas cyanus,Slaty Robin,Blue-gray robin,LC
Melanodryas cyanus cyanus,,,
Melanodryas cyanus atricapilla,,,
Melanodryas cyanus subcyanea,,,
Melanodryas cryptoleuca,Smoky Robin,Smoky robin,LC
Melanodryas cryptoleuca cryptoleuca,,,
Melanodryas cryptoleuca albidior,,,
Melanodryas cryptoleuca maxima,,,
Stenostiridae,,,
Chelidorhynx,,,
Chelidorhynx hypoxanthus,Yellow-bellied Fantail,Yellow-bellied fairy-fantail,LC
Stenostira,,,
Stenostira scita,Fairy Flycatcher,Fairy flycatcher,LC
Stenostira scita scita,,,
Stenostira scita saturatior,,,
Stenostira scita rudebecki,,,
Culicicapa,,,
Culicicapa ceylonensis,Grey-headed Canary-flycatcher,Gray-headed canary-flycatcher,LC
Culicicapa ceylonensis calochrysea,,,
Culicicapa ceylonensis antioxantha,,,
Culicicapa ceylonensis ceylonensis,,,
Culicicapa ceylonensis sejuncta,,,
Culicicapa ceylonensis connectens,,,
Culicicapa helianthea,Citrine Canary-flycatcher,Citrine canary-flycatcher,LC
Culicicapa helianthea septentrionalis,,,
Culicicapa helianthea zimmeri,,,
Culicicapa helianthea panayensis,,,
Culicicapa helianthea mayri,,,
Culicicapa helianthea helianthea,,,
Elminia,,,
Elminia longicauda,African Blue Flycatcher,Azulinho,LC
Elminia longicauda longicauda,,,
Elminia longicauda teresita,,,
Elminia albicauda,White-tailed Blue Flycatcher,White-tailed blue flycatcher,LC
Elminia nigromitrata,Dusky Crested Flycatcher,Dusky crested flycatcher,LC
Elminia nigromitrata colstoni,,,
Elminia nigromitrata nigromitrata,,,
Elminia albiventris,White-bellied Crested Flycatcher,White-bellied crested flycatcher,LC
Elminia albiventris albiventris,,,
Elminia albiventris toroensis,,,
Elminia albonotata,White-tailed Crested Flycatcher,White-tailed crested flycatcher,LC
Elminia albonotata albonotata,,,
Elminia albonotata swynnertoni,,,
Elminia albonotata subcaerulea,,,
Hyliotidae,,,
Hyliota,,,
Hyliota flavigaster,Yellow-bellied Hyliota,Yellow-bellied hyliota,LC
Hyliota flavigaster flavigaster,,,
Hyliota flavigaster barbozae,,,
Hyliota australis,Southern Hyliota,Southern hyliota,LC
Hyliota australis slatini,,,
Hyliota australis inornata,,,
Hyliota australis australis,,,
Hyliota usambara,Usambara Hyliota,Usambara hyliota,EN
Hyliota violacea,Violet-backed Hyliota,Violet-backed hyliota,LC
Hyliota violacea nehrkorni,,,
Hyliota violacea violacea,,,
Remizidae,,,
Auriparus,,,
Auriparus flaviceps,Verdin,Verdin,LC
Auriparus flaviceps acaciarum,,,
Auriparus flaviceps ornatus,,,
Auriparus flaviceps flaviceps,,,
Auriparus flaviceps lamprocephalus,,,
Auriparus flaviceps sinaloae,,,
Auriparus flaviceps hidalgensis,,,
Remiz,,,
Remiz consobrinus,Chinese Penduline Tit,Chinese penduline-tit,LC
Remiz coronatus,White-crowned Penduline Tit,White-crowned penduline-tit,LC
Remiz coronatus coronatus,,,
Remiz coronatus stoliczkae,,,
Remiz pendulinus,Eurasian Penduline Tit,Chapim-de-mascarilha,NE
Remiz pendulinus pendulinus,,,
Remiz pendulinus menzbieri,,,
Remiz pendulinus caspius,,,
Remiz pendulinus jaxarticus,,,
Remiz macronyx,Black-headed Penduline Tit,Black-headed penduline-tit,NE
Remiz macronyx macronyx,,,
Remiz macronyx neglectus,,,
Remiz macronyx nigricans,,,
Remiz macronyx ssaposhnikowi,,,
Anthoscopus,,,
Anthoscopus punctifrons,Sennar Penduline Tit,Sennar penduline-tit,LC
Anthoscopus musculus,Mouse-colored Penduline Tit,Mouse-colored penduline-tit,LC
Anthoscopus parvulus,Yellow Penduline Tit,Yellow penduline-tit,LC
Anthoscopus flavifrons,Forest Penduline Tit,Forest penduline-tit,LC
Anthoscopus flavifrons waldronae,,,
Anthoscopus flavifrons flavifrons,,,
Anthoscopus flavifrons ruthae,,,
Anthoscopus caroli,Grey Penduline Tit,African penduline-tit,NE
Anthoscopus caroli roccatii,,,
Anthoscopus caroli pallescens,,,
Anthoscopus caroli ansorgei,,,
Anthoscopus caroli rhodesiae,,,
Anthoscopus caroli robertsi,,,
Anthoscopus caroli caroli,,,
Anthoscopus caroli winterbottomi,,,
Anthoscopus caroli rankinei,,,
Anthoscopus caroli hellmayri,,,
Anthoscopus caroli sylviella,,,
Anthoscopus caroli sharpei,,,
Anthoscopus minutus,Cape Penduline Tit,Southern penduline-tit,LC
Anthoscopus minutus damarensis,,,
Anthoscopus minutus gigi,,,
Anthoscopus minutus minutus,,,
Paridae,,,
Cephalopyrus,,,
Cephalopyrus flammiceps,Fire-capped Tit,Fire-capped tit,LC
Cephalopyrus flammiceps flammiceps,,,
Cephalopyrus flammiceps olivaceus,,,
Sylviparus,,,
Sylviparus modestus,Yellow-browed Tit,Yellow-browed tit,LC
Sylviparus modestus simlaensis,,,
Sylviparus modestus modestus,,,
Sylviparus modestus klossi,,,
Melanochlora,,,
Melanochlora sultanea,Sultan Tit,Sultan tit,LC
Melanochlora sultanea sultanea,,,
Melanochlora sultanea flavocristata,,,
Melanochlora sultanea seorsa,,,
Melanochlora sultanea gayeti,,,
Cyanistes,,,
Cyanistes teneriffae,African Blue Tit,Chapim-azul-das-canárias,LC
Cyanistes teneriffae palmensis,,,
Cyanistes teneriffae cyrenaicae,,,
Cyanistes teneriffae ultramarinus,,,
Cyanistes teneriffae degener,,,
Cyanistes teneriffae ombriosus,,,
Cyanistes teneriffae teneriffae,,,
Cyanistes teneriffae hedwigae,,,
Cyanistes cyanus,Azure Tit,Chapim-de-cabeça-branca,LC
Cyanistes cyanus cyanus,,,
Cyanistes cyanus hyperrhiphaeus,,,
Cyanistes cyanus yenisseensis,,,
Cyanistes cyanus tianschanicus,,,
Cyanistes cyanus koktalensis,,,
Cyanistes cyanus carruthersi,,,
Cyanistes cyanus flavipectus,,,
Cyanistes cyanus berezowskii,,,
Cyanistes caeruleus,Eurasian Blue Tit,Chapim-azul,LC
Cyanistes caeruleus obscurus,,,
Cyanistes caeruleus caeruleus,,,
Cyanistes caeruleus balearicus,,,
Cyanistes caeruleus ogliastrae,,,
Cyanistes caeruleus calamensis,,,
Cyanistes caeruleus orientalis,,,
Cyanistes caeruleus satunini,,,
Cyanistes caeruleus raddei,,,
Cyanistes caeruleus persicus,,,
Pseudopodoces,,,
Pseudopodoces humilis,Ground Tit,Ground tit,LC
Parus,,,
Parus monticolus,Green-backed Tit,Green-backed tit,LC
Parus monticolus monticolus,,,
Parus monticolus yunnanensis,,,
Parus monticolus legendrei,,,
Parus monticolus insperatus,,,
Parus major,Great Tit,Chapim-real,NE
Parus major newtoni,,,
Parus major major,,,
Parus major kapustini,,,
Parus major corsus,,,
Parus major mallorcae,,,
Parus major excelsus,,,
Parus major ecki,,,
Parus major aphrodite,,,
Parus major niethammeri,,,
Parus major terraesanctae,,,
Parus major karelini,,,
Parus major blanfordi,,,
Parus major bokharensis,,,
Parus major turkestanicus,,,
Parus major ferghanensis,,,
Parus major intermedius,,,
Parus cinereus,Cinereous Tit,Asian tit,NE
Parus cinereus decolorans,,,
Parus cinereus ziaratensis,,,
Parus cinereus caschmirensis,,,
Parus cinereus planorum,,,
Parus cinereus vauriei,,,
Parus cinereus stupae,,,
Parus cinereus mahrattarum,,,
Parus cinereus templorum,,,
Parus cinereus hainanus,,,
Parus cinereus ambiguus,,,
Parus cinereus sarawacensis,,,
Parus cinereus cinereus,,,
Parus cinereus minor,,,
Parus cinereus dageletensis,,,
Parus cinereus amamiensis,,,
Parus cinereus okinawae,,,
Parus cinereus nigriloris,,,
Parus cinereus tibetanus,,,
Parus cinereus commixtus,,,
Parus cinereus nubicolus,,,
Machlolophus,,,
Machlolophus nuchalis,White-naped Tit,White-naped tit,NT
Machlolophus holsti,Yellow Tit,Taiwan yellow tit,LC
Machlolophus xanthogenys,Himalayan Black-lored Tit,Himalayan black-lored tit,NE
Machlolophus aplonotus,Indian Black-lored Tit,Indian yellow tit,NE
Machlolophus aplonotus aplonotus,,,
Machlolophus aplonotus travancoreensis,,,
Machlolophus spilonotus,Yellow-cheeked Tit,Yellow-cheeked tit,LC
Machlolophus spilonotus spilonotus,,,
Machlolophus spilonotus subviridis,,,
Machlolophus spilonotus rex,,,
Machlolophus spilonotus basileus,,,
Melaniparus,,,
Melaniparus guineensis,White-shouldered Black Tit,Chapim-da-guiné,LC
Melaniparus leucomelas,White-winged Black Tit,White-winged black-tit,LC
Melaniparus leucomelas leucomelas,,,
Melaniparus leucomelas insignis,,,
Melaniparus rufiventris,Rufous-bellied Tit,Rufous-bellied tit,NE
Melaniparus rufiventris rufiventris,,,
Melaniparus rufiventris masukuensis,,,
Melaniparus rufiventris diligens,,,
Melaniparus rufiventris pallidiventris,,,
Melaniparus rufiventris stenotopicus,,,
Melaniparus albiventris,White-bellied Tit,White-bellied tit,LC
Melaniparus niger,Southern Black Tit,Southern black-tit,LC
Melaniparus niger ravidus,,,
Melaniparus niger xanthostomus,,,
Melaniparus niger niger,,,
Melaniparus carpi,Carp's Tit,Carp's tit,LC
Melaniparus funereus,Dusky Tit,Dusky tit,LC
Melaniparus funereus funereus,,,
Melaniparus funereus gabela,,,
Melaniparus griseiventris,Miombo Tit,Miombo tit,LC
Melaniparus fasciiventer,Stripe-breasted Tit,Stripe-breasted tit,LC
Melaniparus fasciiventer fasciiventer,,,
Melaniparus fasciiventer tanganjicae,,,
Melaniparus fasciiventer kaboboensis,,,
Melaniparus thruppi,Acacia Tit,Somali tit,LC
Melaniparus thruppi thruppi,,,
Melaniparus thruppi barakae,,,
Melaniparus fringillinus,Red-throated Tit,Red-throated tit,LC
Melaniparus leuconotus,White-backed Black Tit,White-backed black-tit,LC
Melaniparus cinerascens,Ashy Tit,Ashy tit,LC
Melaniparus cinerascens benguelae,,,
Melaniparus cinerascens cinerascens,,,
Melaniparus afer,Grey Tit,Gray tit,LC
Melaniparus afer arens,,,
Melaniparus afer afer,,,
Periparus,,,
Periparus venustulus,Yellow-bellied Tit,Yellow-bellied tit,LC
Periparus amabilis,Palawan Tit,Palawan tit,NT
Periparus elegans,Elegant Tit,Elegant tit,LC
Periparus elegans edithae,,,
Periparus elegans montigenus,,,
Periparus elegans gilliardi,,,
Periparus elegans elegans,,,
Periparus elegans visayanus,,,
Periparus elegans albescens,,,
Periparus elegans mindanensis,,,
Periparus elegans suluensis,,,
Periparus elegans bongaoensis,,,
Periparus ater,Coal Tit,Chapim-carvoeiro,LC
Periparus ater britannicus,,,
Periparus ater hibernicus,,,
Periparus ater ater,,,
Periparus ater vieirae,,,
Periparus ater sardus,,,
Periparus ater atlas,,,
Periparus ater ledouci,,,
Periparus ater cypriotes,,,
Periparus ater moltchanovi,,,
Periparus ater michalowskii,,,
Periparus ater derjugini,,,
Periparus ater eckodedicatus,,,
Periparus ater phaeonotus,,,
Periparus ater rufipectus,,,
Periparus ater martensi,,,
Periparus ater melanolophus,,,
Periparus ater aemodius,,,
Periparus ater pekinensis,,,
Periparus ater insularis,,,
Periparus ater kuatunensis,,,
Periparus ater ptilosus,,,
Periparus rufonuchalis,Rufous-naped Tit,Rufous-naped tit,LC
Periparus rubidiventris,Rufous-vented Tit,Rufous-vented tit,LC
Periparus rubidiventris rubidiventris,,,
Periparus rubidiventris beavani,,,
Periparus rubidiventris whistleri,,,
Periparus rubidiventris saramatii,,,
Lophophanes,,,
Lophophanes dichrous,Grey-crested Tit,Gray-crested tit,LC
Lophophanes dichrous kangrae,,,
Lophophanes dichrous dichrous,,,
Lophophanes dichrous dichroides,,,
Lophophanes dichrous wellsi,,,
Lophophanes cristatus,Crested Tit,Chapim-de-poupa,LC
Lophophanes cristatus scoticus,,,
Lophophanes cristatus abadiei,,,
Lophophanes cristatus weigoldi,,,
Lophophanes cristatus cristatus,,,
Lophophanes cristatus baschkirikus,,,
Lophophanes cristatus mitratus,,,
Lophophanes cristatus bureschi,,,
Baeolophus,,,
Baeolophus wollweberi,Bridled Titmouse,Bridled titmouse,LC
Baeolophus wollweberi vandevenderi,,,
Baeolophus wollweberi phillipsi,,,
Baeolophus wollweberi wollweberi,,,
Baeolophus wollweberi caliginosus,,,
Baeolophus inornatus,Oak Titmouse,Oak titmouse,LC
Baeolophus inornatus inornatus,,,
Baeolophus inornatus affabilis,,,
Baeolophus inornatus mohavensis,,,
Baeolophus inornatus cineraceus,,,
Baeolophus ridgwayi,Juniper Titmouse,Juniper titmouse,LC
Baeolophus ridgwayi ridgwayi,,,
Baeolophus ridgwayi zaleptus,,,
Baeolophus bicolor,Tufted Titmouse,Tufted titmouse,LC
Baeolophus atricristatus,Black-crested Titmouse,Black-crested titmouse,LC
Baeolophus atricristatus paloduro,,,
