Scientific_name,English_name_AviList,Portuguese (Brazil),IUCN_Red_List_Category
Stictonetta naevosa,Freckled Duck,freckled duck,LC
Heteronetta,,,
Heteronetta atricapilla,Black-headed Duck,marreca-de-cabeça-preta,LC
Nomonyx,,,
Nomonyx dominicus,Masked Duck,marreca-caucau,LC
Oxyura,,,
Oxyura leucocephala,White-headed Duck,pato-rabo-alçado,EN
Oxyura australis,Blue-billed Duck,blue-billed duck,LC
Oxyura maccoa,Maccoa Duck,maccoa duck,EN
Oxyura vittata,Lake Duck,marreca-rabo-de-espinho,LC
Oxyura jamaicensis,Ruddy Duck,,NE
Oxyura jamaicensis jamaicensis,,,
Oxyura jamaicensis ferruginea,,,
Oxyura jamaicensis andina,,,
Plectropterus,,,
Plectropterus gambensis,Spur-winged Goose,pato-ferrão,LC
Plectropterus gambensis gambensis,,,
Plectropterus gambensis niger,,,
Malacorhynchus,,,
Malacorhynchus membranaceus,Pink-eared Duck,pink-eared duck,LC
Coscoroba,,,
Coscoroba coscoroba,Coscoroba Swan,capororoca,LC
Cereopsis,,,
Cereopsis novaehollandiae,Cape Barren Goose,cape barren goose,LC
Cereopsis novaehollandiae novaehollandiae,,,
Cereopsis novaehollandiae grisea,,,
Cygnus,,,
Cygnus melancoryphus,Black-necked Swan,cisne-de-pescoço-preto,LC
Cygnus olor,Mute Swan,cisne-mudo,LC
Cygnus atratus,Black Swan,cisne-preto,LC
Cygnus columbianus,Tundra Swan,cisne-pequeno,LC
Cygnus columbianus columbianus,,,
Cygnus columbianus bewickii,,,
Cygnus cygnus,Whooper Swan,cisne-bravo,LC
Cygnus buccinator,Trumpeter Swan,trumpeter swan,LC
Branta,,,
Branta bernicla,Brant Goose,ganso-de-faces-pretas,LC
Branta bernicla nigricans,,,
Branta bernicla bernicla,,,
Branta bernicla hrota,,,
Branta ruficollis,Red-breasted Goose,ganso-de-peito-ruivo,VU
Branta sandvicensis,Nene,hawaiian goose,NT
Branta canadensis,Canada Goose,ganso-do-canadá,LC
Branta canadensis occidentalis,,,
Branta canadensis fulva,,,
Branta canadensis maxima,,,
Branta canadensis parvipes,,,
Branta canadensis moffitti,,,
Branta canadensis interior,,,
Branta canadensis canadensis,,,
Branta leucopsis,Barnacle Goose,ganso-marisco,LC
Branta hutchinsii,Cackling Goose,ganso-palrador,LC
Branta hutchinsii leucopareia,,,
Branta hutchinsii minima,,,
Branta hutchinsii taverneri,,,
Branta hutchinsii hutchinsii,,,
Anser,,,
Anser indicus,Bar-headed Goose,ganso-de-cabeça-listada,LC
Anser canagicus,Emperor Goose,ganso-imperial,LC
Anser rossii,Ross's Goose,ganso-das-neves-pequeno,LC
Anser caerulescens,Snow Goose,ganso-das-neves,LC
Anser caerulescens caerulescens,,,
Anser caerulescens atlanticus,,,
Anser anser,Greylag Goose,ganso-bravo,LC
Anser anser anser,,,
Anser anser rubrirostris,,,
Anser cygnoides,Swan Goose,ganso-africano,EN
Anser erythropus,Lesser White-fronted Goose,ganso-pequeno,VU
Anser albifrons,Greater White-fronted Goose,ganso-de-testa-branca,LC
Anser albifrons flavirostris,,,
Anser albifrons albifrons,,,
Anser albifrons elgasi,,,
Anser albifrons gambelli,,,
Anser albifrons sponsa,,,
Anser serrirostris,Tundra Bean Goose,ganso-campestre-da-tundra,NE
Anser serrirostris rossicus,,,
Anser serrirostris serrirostris,,,
Anser brachyrhynchus,Pink-footed Goose,ganso-de-bico-curto,LC
Anser fabalis,Taiga Bean Goose,ganso-campestre-da-taiga,NE
Anser fabalis fabalis,,,
Anser fabalis johanseni,,,
Anser fabalis middendorffii,,,
Merganetta,,,
Merganetta armata,Torrent Duck,torrent duck,LC
Merganetta armata colombiana,,,
Merganetta armata leucogenis,,,
Merganetta armata turneri,,,
Merganetta armata garleppi,,,
Merganetta armata berlepschi,,,
Merganetta armata armata,,,
Callonetta,,,
Callonetta leucophrys,Ringed Teal,marreca-de-coleira,LC
Cairina,,,
Cairina moschata,Muscovy Duck,pato-do-mato,LC
Aix,,,
Aix galericulata,Mandarin Duck,pato-mandarim,LC
Aix sponsa,Wood Duck,pato-carolino,LC
Neochen,,,
Neochen jubata,Orinoco Goose,pato-corredor,LC
Chloephaga,,,
Chloephaga melanoptera,Andean Goose,andean goose,LC
Chloephaga picta,Upland Goose,ganso-de-magalhães,LC
Chloephaga picta picta,,,
Chloephaga picta leucoptera,,,
Chloephaga hybrida,Kelp Goose,kelp goose,LC
Chloephaga hybrida hybrida,,,
Chloephaga hybrida malvinarum,,,
Chloephaga poliocephala,Ashy-headed Goose,ashy-headed goose,LC
Chloephaga rubidiceps,Ruddy-headed Goose,ruddy-headed goose,LC
Radjah,,,
Radjah radjah,Radjah Shelduck,tadorna-de-cabeça-branca,LC
Radjah radjah radjah,,,
Radjah radjah rufitergum,,,
Alopochen,,,
Alopochen aegyptiaca,Egyptian Goose,ganso-do-egipto,LC
Alopochen mauritiana,Mauritius Sheldgoose,mauritius shelduck,EX
Alopochen kervazoi,Reunion Sheldgoose,reunion shelduck,EX
Tadorna,,,
Tadorna tadorna,Common Shelduck,tadorna,LC
Tadorna cristata,Crested Shelduck,crested shelduck,CR
Tadorna cana,South African Shelduck,tadorna-do-cabo,LC
Tadorna ferruginea,Ruddy Shelduck,pato-casarca,LC
Tadorna variegata,Paradise Shelduck,paradise shelduck,LC
Tadorna tadornoides,Australian Shelduck,australian shelduck,LC
Clangula,,,
Clangula hyemalis,Long-tailed Duck,pato-rabilongo,VU
Polysticta,,,
Polysticta stelleri,Steller's Eider,êider-de-steller,VU
Camptorhynchus,,,
Camptorhynchus labradorius,Labrador Duck,labrador duck,EX
Somateria,,,
Somateria fischeri,Spectacled Eider,êider-de-lunetas,NT
Somateria spectabilis,King Eider,êider-real,LC
Somateria mollissima,Common Eider,êider,NT
Somateria mollissima v-nigrum,,,
Somateria mollissima borealis,,,
Somateria mollissima sedentaria,,,
Somateria mollissima dresseri,,,
Somateria mollissima faeroeensis,,,
Somateria mollissima mollissima,,,
Histrionicus,,,
Histrionicus histrionicus,Harlequin Duck,pato-arlequim,LC
Melanitta,,,
Melanitta nigra,Common Scoter,negrola-comum,LC
Melanitta americana,Black Scoter,negrola-americana,NT
Melanitta perspicillata,Surf Scoter,negrola-de-lunetas,LC
Melanitta fusca,Velvet Scoter,negrola-d'asa-branca,VU
Melanitta deglandi,White-winged Scoter,negrola-de-degland,LC
Melanitta stejnegeri,Stejneger's Scoter,negrola-de-stejneger,LC
Bucephala,,,
Bucephala albeola,Bufflehead,olho-dourado-de-touca,LC
Bucephala islandica,Barrow's Goldeneye,olho-dourado-da-islândia,LC
Bucephala clangula,Common Goldeneye,olho-dourado-comum,LC
Bucephala clangula clangula,,,
Bucephala clangula americana,,,
Mergellus,,,
Mergellus albellus,Smew,merganso-pequeno,LC
Lophodytes,,,
Lophodytes cucullatus,Hooded Merganser,merganso-capuchinho,LC
Mergus,,,
Mergus serrator,Red-breasted Merganser,merganso-de-poupa,LC
Mergus squamatus,Scaly-sided Merganser,scaly-sided merganser,EN
Mergus octosetaceus,Brazilian Merganser,pato-mergulhão,CR
Mergus australis,New Zealand Merganser,auckland islands merganser,EX
Mergus merganser,Common Merganser,merganso-grande,LC
Mergus merganser merganser,,,
Mergus merganser orientalis,,,
Mergus merganser americanus,,,
Sarkidiornis,,,
Sarkidiornis melanotos,Knob-billed Duck,knob-billed duck,LC
Sarkidiornis sylvicola,Comb Duck,pato-de-crista,LC
Hymenolaimus,,,
Hymenolaimus malacorhynchos,Blue Duck,blue duck,EN
Hymenolaimus malacorhynchos malacorhynchos,,,
Hymenolaimus malacorhynchos hymenolaimus,,,
Chenonetta,,,
Chenonetta jubata,Maned Duck,pato-de-crina,LC
Cyanochen,,,
Cyanochen cyanoptera,Blue-winged Goose,blue-winged goose,NT
Pteronetta,,,
Pteronetta hartlaubii,Hartlaub's Duck,hartlaub's duck,LC
Marmaronetta,,,
Marmaronetta angustirostris,Marbled Duck,pardilheira,NT
Asarcornis,,,
Asarcornis scutulata,White-winged Duck,white-winged duck,CR
Rhodonessa,,,
Rhodonessa caryophyllacea,Pink-headed Duck,pink-headed duck,CR
Netta,,,
Netta rufina,Red-crested Pochard,pato-de-bico-vermelho,LC
Netta erythrophthalma,Southern Pochard,paturi-preta,LC
Netta erythrophthalma brunnea,,,
Netta erythrophthalma erythrophthalma,,,
