Scientific_name,English_name_AviList,Portuguese (Brazil),IUCN_Red_List_Category
Ptiloprora mayri,Mayr's Honeyeater,mayr's honeyeater,LC
Ptiloprora mayri mayri,,,
Ptiloprora mayri acrophila,,,
Ptiloprora guisei,Rufous-backed Honeyeater,rufous-backed honeyeater,LC
Ptiloprora perstriata,Grey-streaked Honeyeater,gray-streaked honeyeater,LC
Ashbyia,,,
Ashbyia lovensis,Gibberbird,gibberbird,LC
Epthianura,,,
Epthianura crocea,Yellow Chat,yellow chat,LC
Epthianura crocea tunneyi,,,
Epthianura crocea crocea,,,
Epthianura crocea macgregori,,,
Epthianura tricolor,Crimson Chat,crimson chat,LC
Epthianura aurifrons,Orange Chat,orange chat,LC
Epthianura albifrons,White-fronted Chat,white-fronted chat,LC
Stresemannia,,,
Stresemannia bougainvillei,Bougainville Honeyeater,bougainville honeyeater,LC
Ramsayornis,,,
Ramsayornis fasciatus,Bar-breasted Honeyeater,bar-breasted honeyeater,LC
Ramsayornis modestus,Brown-backed Honeyeater,brown-backed honeyeater,LC
Conopophila,,,
Conopophila albogularis,Rufous-banded Honeyeater,rufous-banded honeyeater,LC
Conopophila rufogularis,Rufous-throated Honeyeater,rufous-throated honeyeater,LC
Conopophila whitei,Grey Honeyeater,gray honeyeater,LC
Melilestes,,,
Melilestes megarhynchus,Long-billed Honeyeater,long-billed honeyeater,LC
Melilestes megarhynchus vagans,,,
Melilestes megarhynchus megarhynchus,,,
Timeliopsis,,,
Timeliopsis griseigula,Tawny Straightbill,tawny straightbill,LC
Timeliopsis griseigula griseigula,,,
Timeliopsis griseigula fulviventris,,,
Timeliopsis fulvigula,Olive Straightbill,olive straightbill,LC
Timeliopsis fulvigula fulvigula,,,
Timeliopsis fulvigula meyeri,,,
Macgregoria,,,
Macgregoria pulchra,MacGregor's Honeyeater,macgregor's honeyeater,VU
Macgregoria pulchra carolinae,,,
Macgregoria pulchra pulchra,,,
Melipotes,,,
Melipotes gymnops,Arfak Honeyeater,arfak honeyeater,LC
Melipotes fumigatus,Common Smoky Honeyeater,smoky honeyeater,LC
Melipotes fumigatus kumawa,,,
Melipotes fumigatus goliathi,,,
Melipotes fumigatus fumigatus,,,
Melipotes carolae,Wattled Smoky Honeyeater,foja honeyeater,LC
Melipotes ater,Spangled Honeyeater,spangled honeyeater,LC
Gliciphila,,,
Gliciphila undulata,Barred Honeyeater,barred honeyeater,LC
Gliciphila melanops,Tawny-crowned Honeyeater,tawny-crowned honeyeater,LC
Gliciphila melanops melanops,,,
Gliciphila melanops chelidonia,,,
Gliciphila notabilis,White-bellied Honeyeater,vanuatu honeyeater,LC
Gliciphila notabilis notabilis,,,
Gliciphila notabilis superciliaris,,,
Prosthemadera,,,
Prosthemadera novaeseelandiae,Tui,tui,LC
Prosthemadera novaeseelandiae novaeseelandiae,,,
Prosthemadera novaeseelandiae chathamensis,,,
Anthornis,,,
Anthornis melanocephala,Chatham Islands Bellbird,chatham islands bellbird,EX
Anthornis melanura,New Zealand Bellbird,new zealand bellbird,LC
Anthornis melanura melanura,,,
Anthornis melanura obscura,,,
Anthornis melanura oneho,,,
Certhionyx,,,
Certhionyx variegatus,Pied Honeyeater,pied honeyeater,LC
Pycnopygius,,,
Pycnopygius ixoides,Plain Honeyeater,plain honeyeater,LC
Pycnopygius ixoides ixoides,,,
Pycnopygius ixoides proximus,,,
Pycnopygius ixoides unicus,,,
Pycnopygius ixoides finschi,,,
Pycnopygius cinereus,Marbled Honeyeater,marbled honeyeater,LC
Pycnopygius cinereus cinereus,,,
Pycnopygius cinereus marmoratus,,,
Pycnopygius stictocephalus,Streak-headed Honeyeater,streak-headed honeyeater,LC
Sugomel,,,
Sugomel nigrum,Black Honeyeater,black honeyeater,LC
Melitograis,,,
Melitograis gilolensis,White-streaked Friarbird,white-streaked friarbird,LC
Vosea,,,
Vosea whitemanensis,Gilliard's Honeyeater,bismarck honeyeater,NT
Myzomela,,,
Myzomela blasii,Drab Myzomela,seram myzomela,LC
Myzomela albigula,White-chinned Myzomela,white-chinned myzomela,DD
Myzomela albigula pallidior,,,
Myzomela albigula albigula,,,
Myzomela eques,Ruby-throated Myzomela,ruby-throated myzomela,LC
Myzomela eques eques,,,
Myzomela eques primitiva,,,
Myzomela eques nymani,,,
Myzomela eques karimuiensis,,,
Myzomela cineracea,Ashy Myzomela,ashy myzomela,LC
Myzomela simplex,Moluccan Myzomela,moluccan myzomela,LC
Myzomela simplex mortyana,,,
Myzomela simplex simplex,,,
Myzomela rubrotincta,Red-tinged Myzomela,red-tinged myzomela,LC
Myzomela rubrobrunnea,Biak Myzomela,biak myzomela,LC
Myzomela obscura,Dusky Myzomela,dusky myzomela,LC
Myzomela obscura fumata,,,
Myzomela obscura harterti,,,
Myzomela obscura obscura,,,
Myzomela cruentata,Red Myzomela,red myzomela,LC
Myzomela cruentata cruentata,,,
Myzomela cruentata coccinea,,,
Myzomela erythrina,Reddish Myzomela,reddish myzomela,LC
Myzomela erythrina erythrina,,,
Myzomela erythrina lavongai,,,
Myzomela erythrina cantans,,,
Myzomela erythrina vinacea,,,
Myzomela nigrita,Papuan Black Myzomela,papuan black myzomela,LC
Myzomela nigrita steini,,,
Myzomela nigrita nigrita,,,
Myzomela nigrita pluto,,,
Myzomela nigrita forbesi,,,
Myzomela pulchella,New Ireland Myzomela,new ireland myzomela,LC
Myzomela prawiradilagae,Alor Myzomela,alor myzomela,VU
Myzomela kuehni,Wetar Myzomela,crimson-hooded myzomela,LC
Myzomela erythrocephala,Red-headed Myzomela,red-headed myzomela,LC
Myzomela erythrocephala erythrocephala,,,
Myzomela erythrocephala infuscata,,,
Myzomela dammermani,Sumba Myzomela,sumba myzomela,NE
Myzomela irianawidodoae,Rote Myzomela,rote myzomela,NE
Myzomela adolphinae,Mountain Myzomela,elfin myzomela,LC
Myzomela chloroptera,Sulawesi Myzomela,sulawesi myzomela,LC
Myzomela chloroptera chloroptera,,,
Myzomela chloroptera juga,,,
Myzomela chloroptera eva,,,
Myzomela batjanensis,Bacan Myzomela,bacan myzomela,VU
Myzomela wahe,Taliabu Myzomela,taliabu myzomela,NE
Myzomela wakoloensis,Wakolo Myzomela,wakolo myzomela,LC
Myzomela wakoloensis wakoloensis,,,
Myzomela wakoloensis elisabethae,,,
Myzomela boiei,Banda Myzomela,banda myzomela,LC
Myzomela boiei boiei,,,
Myzomela boiei annabellae,,,
Myzomela caledonica,New Caledonian Myzomela,new caledonian myzomela,LC
Myzomela sanguinolenta,Scarlet Myzomela,scarlet myzomela,LC
Myzomela rubratra,Micronesian Myzomela,micronesian myzomela,LC
Myzomela rubratra asuncionis,,,
Myzomela rubratra saffordi,,,
Myzomela rubratra kobayashii,,,
Myzomela rubratra kurodai,,,
Myzomela rubratra major,,,
Myzomela rubratra dichromata,,,
Myzomela rubratra rubratra,,,
Myzomela cardinalis,Cardinal Myzomela,cardinal myzomela,NE
Myzomela cardinalis pulcherrima,,,
Myzomela cardinalis sanfordi,,,
Myzomela cardinalis sanctaecrucis,,,
Myzomela cardinalis tucopiae,,,
Myzomela cardinalis tenuis,,,
Myzomela cardinalis cardinalis,,,
Myzomela cardinalis lifuensis,,,
Myzomela nigriventris,Samoan Myzomela,samoan myzomela,NE
Myzomela chermesina,Rotuma Myzomela,rotuma myzomela,VU
Myzomela sclateri,Sclater's Myzomela,sclater's myzomela,LC
Myzomela pammelaena,Bismarck Black Myzomela,bismarck black myzomela,LC
Myzomela pammelaena ernstmayri,,,
Myzomela pammelaena pammelaena,,,
Myzomela pammelaena hades,,,
Myzomela pammelaena ramsayi,,,
Myzomela pammelaena nigerrima,,,
Myzomela lafargei,Red-capped Myzomela,scarlet-naped myzomela,LC
Myzomela eichhorni,Crimson-rumped Myzomela,yellow-vented myzomela,LC
Myzomela eichhorni eichhorni,,,
Myzomela eichhorni ganongae,,,
Myzomela eichhorni atrata,,,
Myzomela malaitae,Red-vested Myzomela,red-bellied myzomela,NT
Myzomela melanocephala,Black-headed Myzomela,black-headed myzomela,LC
Myzomela tristrami,Sooty Myzomela,sooty myzomela,LC
Myzomela jugularis,Sulphur-breasted Myzomela,sulphur-breasted myzomela,LC
Myzomela erythromelas,Black-bellied Myzomela,black-bellied myzomela,LC
Myzomela vulnerata,Black-breasted Myzomela,papa-mel-de-peito-preto,LC
Myzomela rosenbergii,Red-collared Myzomela,red-collared myzomela,LC
Myzomela longirostris,Long-billed Myzomela,long-billed myzomela,LC
Gymnomyza,,,
Gymnomyza viridis,Yellow-billed Giant Honeyeater,yellow-billed giant-honeyeater,LC
Gymnomyza brunneirostris,Duetting Giant Honeyeater,duetting giant-honeyeater,LC
Gymnomyza samoensis,Mao,mao,EN
Gymnomyza aubryana,Crow Honeyeater,crow honeyeater,CR
Plectorhyncha,,,
Plectorhyncha lanceolata,Striped Honeyeater,striped honeyeater,LC
Grantiella,,,
Grantiella picta,Painted Honeyeater,painted honeyeater,LC
Xanthotis,,,
Xanthotis flaviventer,Tawny-breasted Honeyeater,tawny-breasted honeyeater,LC
Xanthotis flaviventer fusciventris,,,
Xanthotis flaviventer flaviventer,,,
Xanthotis flaviventer saturatior,,,
Xanthotis flaviventer visi,,,
Xanthotis flaviventer madaraszi,,,
Xanthotis flaviventer meyerii,,,
Xanthotis flaviventer spilogaster,,,
Xanthotis flaviventer filiger,,,
Xanthotis polygrammus,Spotted Honeyeater,spotted honeyeater,LC
Xanthotis polygrammus polygrammus,,,
Xanthotis polygrammus poikilosternos,,,
Xanthotis polygrammus septentrionalis,,,
Xanthotis polygrammus lophotis,,,
Xanthotis macleayanus,Macleay's Honeyeater,macleay's honeyeater,LC
Philemon,,,
Philemon citreogularis,Little Friarbird,little friarbird,LC
Philemon citreogularis papuensis,,,
Philemon citreogularis sordidus,,,
Philemon citreogularis citreogularis,,,
Philemon meyeri,Meyer's Friarbird,meyer's friarbird,LC
Philemon inornatus,Timor Friarbird,pássaro-monge-de-timor,LC
Philemon kisserensis,Grey Friarbird,gray friarbird,LC
Philemon brassi,Brass's Friarbird,brass's friarbird,LC
Philemon fuscicapillus,Morotai Friarbird,morotai friarbird,NT
Philemon moluccensis,Buru Friarbird,buru friarbird,LC
Philemon plumigenis,Tanimbar Friarbird,tanimbar friarbird,LC
Philemon subcorniculatus,Seram Friarbird,seram friarbird,LC
Philemon eichhorni,New Ireland Friarbird,new ireland friarbird,LC
Philemon buceroides,Helmeted Friarbird,pássaro-monge-de-capacete,LC
Philemon buceroides neglectus,,,
Philemon buceroides buceroides,,,
Philemon buceroides gordoni,,,
Philemon buceroides ammitophilus,,,
Philemon buceroides novaeguineae,,,
Philemon buceroides aruensis,,,
Philemon buceroides jobiensis,,,
Philemon buceroides subtuberosus,,,
Philemon buceroides tagulanus,,,
Philemon buceroides yorki,,,
Philemon albitorques,Manus Friarbird,white-naped friarbird,LC
Philemon cockerelli,New Britain Friarbird,new britain friarbird,LC
Philemon cockerelli umboi,,,
Philemon cockerelli cockerelli,,,
Philemon argenticeps,Silver-crowned Friarbird,silver-crowned friarbird,LC
Philemon argenticeps argenticeps,,,
Philemon argenticeps kempi,,,
Philemon corniculatus,Noisy Friarbird,noisy friarbird,LC
Philemon corniculatus corniculatus,,,
Philemon corniculatus monachus,,,
Philemon diemenensis,New Caledonian Friarbird,new caledonian friarbird,LC
Meliarchus,,,
Meliarchus sclateri,Makira Honeyeater,makira honeyeater,LC
Guadalcanaria,,,
Guadalcanaria inexpectata,Guadalcanal Honeyeater,guadalcanal honeyeater,LC
Meliphacator,,,
Meliphacator provocator,Kadavu Honeyeater,kadavu honeyeater,LC
Foulehaio,,,
Foulehaio procerior,Kikau,western wattled-honeyeater,LC
Foulehaio carunculatus,Polynesian Wattled Honeyeater,eastern wattled-honeyeater,LC
Foulehaio taviunensis,Fiji Wattled Honeyeater,northern wattled-honeyeater,LC
Trichodere,,,
Trichodere cockerelli,White-streaked Honeyeater,white-streaked honeyeater,LC
Phylidonyris,,,
Phylidonyris pyrrhopterus,Crescent Honeyeater,crescent honeyeater,LC
Phylidonyris pyrrhopterus pyrrhopterus,,,
Phylidonyris pyrrhopterus halmaturinus,,,
Phylidonyris novaehollandiae,New Holland Honeyeater,new holland honeyeater,LC
Phylidonyris novaehollandiae novaehollandiae,,,
Phylidonyris novaehollandiae caudatus,,,
Phylidonyris novaehollandiae canescens,,,
Phylidonyris novaehollandiae campbelli,,,
Phylidonyris novaehollandiae longirostris,,,
Phylidonyris niger,White-cheeked Honeyeater,white-cheeked honeyeater,LC
Phylidonyris niger niger,,,
Phylidonyris niger gouldii,,,
Cissomela,,,
Cissomela pectoralis,Banded Honeyeater,banded honeyeater,LC
Lichmera,,,
Lichmera lombokia,Scaly-crowned Honeyeater,sunda honeyeater,LC
Lichmera argentauris,Olive Honeyeater,olive honeyeater,LC
Lichmera indistincta,Brown Honeyeater,papa-mel-castanho,LC
Lichmera indistincta limbata,,,
Lichmera indistincta nupta,,,
Lichmera indistincta melvillensis,,,
Lichmera indistincta indistincta,,,
Lichmera indistincta ocularis,,,
Lichmera incana,Grey-eared Honeyeater,gray-eared honeyeater,LC
Lichmera incana incana,,,
Lichmera incana poliotis,,,
Lichmera incana mareensis,,,
Lichmera incana griseoviridis,,,
Lichmera incana flavotincta,,,
Lichmera squamata,Scaly-breasted Honeyeater,white-tufted honeyeater,LC
Lichmera alboauricularis,Silver-eared Honeyeater,silver-eared honeyeater,LC
Lichmera alboauricularis alboauricularis,,,
Lichmera alboauricularis olivacea,,,
Lichmera deningeri,Buru Honeyeater,buru honeyeater,LC
Lichmera monticola,Seram Honeyeater,seram honeyeater,LC
Lichmera flavicans,Flame-eared Honeyeater,papa-mel-d'orelha-amarela,LC
Lichmera notabilis,Black-necklaced Honeyeater,black-chested honeyeater,LC
Nesoptilotis,,,
Nesoptilotis flavicollis,Yellow-throated Honeyeater,yellow-throated honeyeater,LC
Nesoptilotis leucotis,White-eared Honeyeater,white-eared honeyeater,LC
Nesoptilotis leucotis leucotis,,,
Nesoptilotis leucotis depauperata,,,
Nesoptilotis leucotis thomasi,,,
Nesoptilotis leucotis novaenorciae,,,
Nesoptilotis leucotis schoddei,,,
Entomyzon,,,
Entomyzon cyanotis,Blue-faced Honeyeater,blue-faced honeyeater,NE
Entomyzon cyanotis albipennis,,,
Entomyzon cyanotis griseigularis,,,
Entomyzon cyanotis cyanotis,,,
Melithreptus,,,
Melithreptus albogularis,White-throated Honeyeater,white-throated honeyeater,LC
Melithreptus albogularis albogularis,,,
Melithreptus albogularis inopinatus,,,
Melithreptus chloropsis,Gilbert's Honeyeater,gilbert's honeyeater,LC
Melithreptus lunatus,White-naped Honeyeater,white-naped honeyeater,LC
Melithreptus affinis,Black-headed Honeyeater,black-headed honeyeater,LC
Melithreptus brevirostris,Brown-headed Honeyeater,brown-headed honeyeater,LC
Melithreptus brevirostris brevirostris,,,
Melithreptus brevirostris wombeyi,,,
Melithreptus brevirostris pallidiceps,,,
Melithreptus brevirostris magnirostris,,,
Melithreptus brevirostris leucogenys,,,
Melithreptus gularis,Black-chinned Honeyeater,black-chinned honeyeater,NE
Melithreptus gularis laetior,,,
Melithreptus gularis gularis,,,
Melithreptus validirostris,Strong-billed Honeyeater,strong-billed honeyeater,VU
Stomiopera,,,
Stomiopera unicolor,White-gaped Honeyeater,white-gaped honeyeater,LC
Stomiopera flava,Yellow Honeyeater,yellow honeyeater,LC
Stomiopera flava flava,,,
Stomiopera flava addenda,,,
Meliphaga,,,
Meliphaga aruensis,Puff-backed Honeyeater,puff-backed honeyeater,LC
Meliphaga notata,Yellow-spotted Honeyeater,yellow-spotted honeyeater,LC
Meliphaga notata notata,,,
Meliphaga notata mixta,,,
Meliphaga lewinii,Lewin's Honeyeater,lewin's honeyeater,LC
Meliphaga lewinii amphochlora,,,
Meliphaga lewinii mab,,,
Meliphaga lewinii lewinii,,,
Meliphaga reticulata,Streak-breasted Honeyeater,papa-mel-de-peito-listado,LC
Meliphaga fordiana,Kimberley Honeyeater,kimberley honeyeater,LC
Meliphaga albilineata,White-lined Honeyeater,white-lined honeyeater,LC
Meliphaga chrysogenys,Orange-cheeked Honeyeater,orange-cheeked honeyeater,LC
Meliphaga montana,Forest Honeyeater,forest honeyeater,LC
Meliphaga montana montana,,,
Meliphaga montana steini,,,
Meliphaga mimikae,Mottle-breasted Honeyeater,mottled honeyeater,LC
Meliphaga flavirictus,Yellow-gaped Honeyeater,yellow-gaped honeyeater,LC
Meliphaga flavirictus flavirictus,,,
Meliphaga flavirictus crockettorum,,,
Meliphaga orientalis,Mountain Honeyeater,mountain honeyeater,LC
Meliphaga orientalis facialis,,,
Meliphaga orientalis becki,,,
Meliphaga orientalis orientalis,,,
Meliphaga albonotata,Scrub Honeyeater,scrub honeyeater,LC
Meliphaga analoga,Mimic Honeyeater,mimic honeyeater,LC
Meliphaga vicina,Tagula Honeyeater,tagula honeyeater,LC
Meliphaga gracilis,Graceful Honeyeater,graceful honeyeater,LC
Meliphaga imitatrix,Cryptic Honeyeater,cryptic honeyeater,LC
Meliphaga cinereifrons,Elegant Honeyeater,elegant honeyeater,LC
Purnella,,,
Purnella albifrons,White-fronted Honeyeater,white-fronted honeyeater,LC
Lichenostomus,,,
Lichenostomus cratitius,Purple-gaped Honeyeater,purple-gaped honeyeater,LC
Lichenostomus cratitius occidentalis,,,
Lichenostomus cratitius cratitius,,,
Lichenostomus melanops,Yellow-tufted Honeyeater,yellow-tufted honeyeater,LC
Lichenostomus melanops meltoni,,,
Lichenostomus melanops melanops,,,
Lichenostomus melanops gippslandicus,,,
Lichenostomus melanops cassidix,,,
Gavicalis,,,
Gavicalis versicolor,Varied Honeyeater,varied honeyeater,LC
Gavicalis versicolor sonoroides,,,
Gavicalis versicolor versicolor,,,
Gavicalis fasciogularis,Mangrove Honeyeater,mangrove honeyeater,LC
Gavicalis virescens,Singing Honeyeater,singing honeyeater,LC
Gavicalis virescens cooperi,,,
Gavicalis virescens sonorus,,,
Gavicalis virescens virescens,,,
Gavicalis virescens forresti,,,
Ptilotula,,,
Ptilotula ornata,Yellow-plumed Honeyeater,yellow-plumed honeyeater,LC
Ptilotula penicillata,White-plumed Honeyeater,white-plumed honeyeater,LC
Ptilotula penicillata penicillata,,,
Ptilotula penicillata leilavalensis,,,
Ptilotula penicillata carteri,,,
Ptilotula penicillata calconi,,,
Ptilotula flavescens,Yellow-tinted Honeyeater,yellow-tinted honeyeater,LC
Ptilotula flavescens flavescens,,,
Ptilotula flavescens melvillensis,,,
Ptilotula fusca,Fuscous Honeyeater,fuscous honeyeater,LC
Ptilotula fusca subgermana,,,
Ptilotula fusca fusca,,,
Ptilotula keartlandi,Grey-headed Honeyeater,gray-headed honeyeater,LC
Ptilotula plumula,Grey-fronted Honeyeater,gray-fronted honeyeater,LC
Ptilotula plumula plumula,,,
Ptilotula plumula planasi,,,
Ptilotula plumula graingeri,,,
Caligavis,,,
Caligavis chrysops,Yellow-faced Honeyeater,yellow-faced honeyeater,LC
Caligavis chrysops barroni,,,
Caligavis chrysops chrysops,,,
Caligavis chrysops samueli,,,
Caligavis subfrenata,Black-throated Honeyeater,black-throated honeyeater,LC
Caligavis obscura,Obscure Honeyeater,obscure honeyeater,LC
Acanthagenys,,,
Acanthagenys rufogularis,Spiny-cheeked Honeyeater,spiny-cheeked honeyeater,LC
Anthochaera,,,
Anthochaera chrysoptera,Little Wattlebird,little wattlebird,LC
Anthochaera chrysoptera chrysoptera,,,
Anthochaera chrysoptera halmaturina,,,
Anthochaera chrysoptera tasmanica,,,
Anthochaera lunulata,Western Wattlebird,western wattlebird,LC
Anthochaera phrygia,Regent Honeyeater,regent honeyeater,CR
Anthochaera carunculata,Red Wattlebird,red wattlebird,LC
Anthochaera carunculata carunculata,,,
Anthochaera carunculata clelandi,,,
Anthochaera carunculata woodwardi,,,
Anthochaera paradoxa,Yellow Wattlebird,yellow wattlebird,LC
Anthochaera paradoxa paradoxa,,,
Anthochaera paradoxa kingi,,,
Bolemoreus,,,
Bolemoreus frenatus,Bridled Honeyeater,bridled honeyeater,LC
Bolemoreus hindwoodi,Eungella Honeyeater,eungella honeyeater,NT
Manorina,,,
Manorina melanophrys,Bell Miner,bell miner,LC
Manorina melanocephala,Noisy Miner,noisy miner,LC
Manorina melanocephala titaniota,,,
Manorina melanocephala melanocephala,,,
Manorina melanocephala leachi,,,
Manorina flavigula,Yellow-throated Miner,yellow-throated miner,LC
Manorina flavigula melvillensis,,,
Manorina flavigula lutea,,,
Manorina flavigula flavigula,,,
Manorina flavigula wayensis,,,
Manorina flavigula obscura,,,
Manorina melanotis,Black-eared Miner,black-eared miner,EN
Melidectes,,,
Melidectes torquatus,Ornate Melidectes,ornate melidectes,LC
Melidectes torquatus torquatus,,,
Melidectes torquatus polyphonus,,,
Melidectes torquatus cahni,,,
Melidectes torquatus emilii,,,
Melidectes ochromelas,Cinnamon-browed Melidectes,cinnamon-browed melidectes,LC
Melidectes leucostephes,Vogelkop Melidectes,vogelkop melidectes,LC
Melidectes foersteri,Huon Melidectes,huon melidectes,LC
Melidectes belfordi,Belford's Melidectes,belford's melidectes,LC
Melidectes belfordi joiceyi,,,
Melidectes belfordi griseirostris,,,
Melidectes belfordi schraderensis,,,
Melidectes belfordi belfordi,,,
Melidectes belfordi brassi,,,
Melidectes rufocrissalis,Yellow-browed Melidectes,yellow-browed melidectes,LC
Melidectes rufocrissalis rufocrissalis,,,
Melidectes rufocrissalis thomasi,,,
Melidectes rufocrissalis stresemanni,,,
Orthonychidae,,,
Orthonyx,,,
Orthonyx novaeguineae,Papuan Logrunner,papuan logrunner,LC
Orthonyx novaeguineae novaeguineae,,,
Orthonyx novaeguineae victorianus,,,
Orthonyx temminckii,Australian Logrunner,australian logrunner,LC
Orthonyx spaldingii,Chowchilla,chowchilla,LC
Orthonyx spaldingii melasmenus,,,
Orthonyx spaldingii spaldingii,,,
Pomatostomidae,,,
Garritornis,,,
Garritornis isidorei,Papuan Babbler,papuan babbler,LC
Pomatostomus,,,
Pomatostomus temporalis,Grey-crowned Babbler,gray-crowned babbler,LC
Pomatostomus temporalis temporalis,,,
Pomatostomus temporalis rubeculus,,,
Pomatostomus superciliosus,White-browed Babbler,white-browed babbler,LC
Pomatostomus superciliosus gilgandra,,,
Pomatostomus superciliosus superciliosus,,,
Pomatostomus superciliosus ashbyi,,,
Pomatostomus superciliosus centralis,,,
Pomatostomus halli,Hall's Babbler,hall's babbler,LC
Pomatostomus ruficeps,Chestnut-crowned Babbler,chestnut-crowned babbler,LC
Cinclosomatidae,,,
Ptilorrhoa,,,
Ptilorrhoa leucosticta,Spotted Jewel-babbler,spotted jewel-babbler,LC
Ptilorrhoa leucosticta leucosticta,,,
Ptilorrhoa leucosticta mayri,,,
Ptilorrhoa leucosticta centralis,,,
Ptilorrhoa leucosticta sibilans,,,
Ptilorrhoa leucosticta menawa,,,
Ptilorrhoa leucosticta amabilis,,,
Ptilorrhoa leucosticta loriae,,,
Ptilorrhoa caerulescens,Blue Jewel-babbler,blue jewel-babbler,LC
Ptilorrhoa caerulescens caerulescens,,,
Ptilorrhoa caerulescens neumanni,,,
Ptilorrhoa caerulescens nigricrissus,,,
Ptilorrhoa geislerorum,Brown-headed Jewel-babbler,dimorphic jewel-babbler,LC
Ptilorrhoa castanonota,Chestnut-backed Jewel-babbler,chestnut-backed jewel-babbler,LC
Ptilorrhoa castanonota gilliardi,,,
Ptilorrhoa castanonota castanonota,,,
Ptilorrhoa castanonota saturata,,,
Ptilorrhoa castanonota uropygialis,,,
Ptilorrhoa castanonota buergersi,,,
Ptilorrhoa castanonota par,,,
Ptilorrhoa castanonota pulchra,,,
Cinclosoma,,,
Cinclosoma punctatum,Spotted Quail-thrush,spotted quail-thrush,LC
Cinclosoma punctatum punctatum,,,
Cinclosoma punctatum dovei,,,
Cinclosoma punctatum anachoreta,,,
Cinclosoma castanotum,Chestnut Quail-thrush,chestnut quail-thrush,NE
Cinclosoma clarum,Copperback Quail-thrush,copperback quail-thrush,NE
Cinclosoma clarum clarum,,,
Cinclosoma clarum fordianum,,,
Cinclosoma clarum morgani,,,
Cinclosoma castaneothorax,Chestnut-breasted Quail-thrush,chestnut-breasted quail-thrush,LC
Cinclosoma marginatum,Western Quail-thrush,western quail-thrush,LC
Cinclosoma cinnamomeum,Cinnamon Quail-thrush,cinnamon quail-thrush,LC
Cinclosoma cinnamomeum tirariense,,,
Cinclosoma cinnamomeum cinnamomeum,,,
Cinclosoma alisteri,Nullarbor Quail-thrush,nullarbor quail-thrush,LC
Cinclosoma ajax,Painted Quail-thrush,painted quail-thrush,LC
Cinclosoma ajax ajax,,,
Cinclosoma ajax alare,,,
Cinclosoma ajax goldiei,,,
Campephagidae,,,
Pericrocotus,,,
Pericrocotus erythropygius,White-bellied Minivet,white-bellied minivet,LC
Pericrocotus albifrons,Jerdon's Minivet,jerdon's minivet,LC 
Pericrocotus igneus,Fiery Minivet,fiery minivet,NT
Pericrocotus igneus igneus,,,
Pericrocotus igneus trophis,,,
Pericrocotus cinnamomeus,Small Minivet,small minivet,LC
Pericrocotus cinnamomeus pallidus,,,
Pericrocotus cinnamomeus peregrinus,,,
Pericrocotus cinnamomeus malabaricus,,,
Pericrocotus cinnamomeus cinnamomeus,,,
Pericrocotus cinnamomeus vividus,,,
Pericrocotus cinnamomeus thai,,,
Pericrocotus cinnamomeus sacerdos,,,
Pericrocotus cinnamomeus saturatus,,,
Pericrocotus solaris,Grey-chinned Minivet,gray-chinned minivet,NE
Pericrocotus solaris solaris,,,
Pericrocotus solaris rubrolimbatus,,,
Pericrocotus solaris montpellieri,,,
Pericrocotus solaris griseogularis,,,
Pericrocotus solaris deignani,,,
Pericrocotus solaris nassovicus,,,
Pericrocotus solaris montanus,,,
Pericrocotus solaris cinereigula,,,
Pericrocotus miniatus,Sunda Minivet,sunda minivet,LC
Pericrocotus brevirostris,Short-billed Minivet,short-billed minivet,LC
Pericrocotus brevirostris brevirostris,,,
Pericrocotus brevirostris affinis,,,
Pericrocotus brevirostris neglectus,,,
Pericrocotus brevirostris anthoides,,,
Pericrocotus lansbergei,Little Minivet,flores minivet,LC
Pericrocotus ethologus,Long-tailed Minivet,long-tailed minivet,LC
Pericrocotus ethologus favillaceus,,,
Pericrocotus ethologus laetus,,,
Pericrocotus ethologus ethologus,,,
Pericrocotus ethologus yvettae,,,
Pericrocotus ethologus mariae,,,
Pericrocotus ethologus ripponi,,,
Pericrocotus ethologus annamensis,,,
Pericrocotus flammeus,Scarlet Minivet,,LC
Pericrocotus flammeus flammeus,,,
Pericrocotus flammeus siebersi,,,
Pericrocotus flammeus exul,,,
Pericrocotus flammeus andamanensis,,,
Pericrocotus flammeus minythomelas,,,
Pericrocotus flammeus modiglianii,,,
Pericrocotus flammeus speciosus,,,
Pericrocotus flammeus fraterculus,,,
Pericrocotus flammeus fohkiensis,,,
Pericrocotus flammeus semiruber,,,
Pericrocotus flammeus flammifer,,,
Pericrocotus flammeus xanthogaster,,,
Pericrocotus flammeus insulanus,,,
Pericrocotus flammeus novus,,,
Pericrocotus flammeus leytensis,,,
Pericrocotus flammeus johnstoniae,,,
Pericrocotus flammeus gonzalesi,,,
Pericrocotus flammeus nigroluteus,,,
Pericrocotus flammeus marchesae,,,
Pericrocotus tegimae,Ryukyu Minivet,ryukyu minivet,LC
Pericrocotus divaricatus,Ashy Minivet,ashy minivet,LC
Pericrocotus cantonensis,Swinhoe's Minivet,brown-rumped minivet,LC
Pericrocotus roseus,Rosy Minivet,rosy minivet,LC
Ceblepyris,,,
Ceblepyris cucullatus,Comoro Cuckooshrike,comoro cuckooshrike,EN
Ceblepyris cucullatus cucullatus,,,
Ceblepyris cucullatus moheliensis,,,
