Scientific_name,English_name_AviList,Romanian,IUCN_Red_List_Category
Galerida magnirostris sedentaria,,,
Galerida magnirostris harei,,,
Galerida modesta,Sun Lark,Sun Lark,LC
Galerida modesta modesta,,,
Galerida modesta nigrita,,,
Galerida modesta struempelli,,,
Galerida modesta bucolica,,,
Galerida deva,Sykes's Lark,Tawny Lark,LC
Galerida theklae,Thekla's Lark,Ciocârlan spaniol,LC
Galerida theklae theklae,,,
Galerida theklae erlangeri,,,
Galerida theklae ruficolor,,,
Galerida theklae theresae,,,
Galerida theklae superflua,,,
Galerida theklae carolinae,,,
Galerida theklae harrarensis,,,
Galerida theklae huei,,,
Galerida theklae praetermissa,,,
Galerida theklae ellioti,,,
Galerida theklae mallablensis,,,
Galerida theklae huriensis,,,
Galerida malabarica,Malabar Lark,Malabar Lark,LC
Galerida cristata,Crested Lark,Ciocârlan,LC
Galerida cristata pallida,,,
Galerida cristata cristata,,,
Galerida cristata neumanni,,,
Galerida cristata apuliae,,,
Galerida cristata meridionalis,,,
Galerida cristata cypriaca,,,
Galerida cristata tenuirostris,,,
Galerida cristata caucasica,,,
Galerida cristata kleinschmidti,,,
Galerida cristata riggenbachi,,,
Galerida cristata randonii,,,
Galerida cristata macrorhyncha,,,
Galerida cristata carthaginis,,,
Galerida cristata arenicola,,,
Galerida cristata festae,,,
Galerida cristata brachyura,,,
Galerida cristata helenae,,,
Galerida cristata jordansi,,,
Galerida cristata nigricans,,,
Galerida cristata maculata,,,
Galerida cristata halfae,,,
Galerida cristata altirostris,,,
Galerida cristata somaliensis,,,
Galerida cristata balsaci,,,
Galerida cristata senegallensis,,,
Galerida cristata alexanderi,,,
Galerida cristata isabellina,,,
Galerida cristata cinnamomina,,,
Galerida cristata zion,,,
Galerida cristata subtaurica,,,
Galerida cristata magna,,,
Galerida cristata leautungensis,,,
Galerida cristata coreensis,,,
Galerida cristata lynesi,,,
Galerida cristata chendoola,,,
Eremophila,,,
Eremophila bilopha,Temminck's Lark,Ciocârlie urecheată de deșert,LC
Eremophila alpestris,Horned Lark,Ciocârlie urecheată,LC
Eremophila alpestris arcticola,,,
Eremophila alpestris hoyti,,,
Eremophila alpestris alpestris,,,
Eremophila alpestris merrilli,,,
Eremophila alpestris strigata,,,
Eremophila alpestris alpina,,,
Eremophila alpestris lamprochroma,,,
Eremophila alpestris leucolaema,,,
Eremophila alpestris enthymia,,,
Eremophila alpestris praticola,,,
Eremophila alpestris sierrae,,,
Eremophila alpestris rubea,,,
Eremophila alpestris utahensis,,,
Eremophila alpestris insularis,,,
Eremophila alpestris actia,,,
Eremophila alpestris ammophila,,,
Eremophila alpestris leucansiptila,,,
Eremophila alpestris occidentalis,,,
Eremophila alpestris adusta,,,
Eremophila alpestris enertera,,,
Eremophila alpestris giraudi,,,
Eremophila alpestris aphrasta,,,
Eremophila alpestris lactea,,,
Eremophila alpestris diaphora,,,
Eremophila alpestris chrysolaema,,,
Eremophila alpestris oaxacae,,,
Eremophila alpestris peregrina,,,
Eremophila alpestris flava,,,
Eremophila alpestris brandti,,,
Eremophila alpestris atlas,,,
Eremophila alpestris balcanica,,,
Eremophila alpestris kumerloevei,,,
Eremophila alpestris penicillata,,,
Eremophila alpestris bicornis,,,
Eremophila alpestris albigula,,,
Eremophila alpestris argalea,,,
Eremophila alpestris teleschowi,,,
Eremophila alpestris przewalskii,,,
Eremophila alpestris nigrifrons,,,
Eremophila alpestris longirostris,,,
Eremophila alpestris elwesi,,,
Eremophila alpestris khamensis,,,
Calandrella,,,
Calandrella blanfordi,Blanford's Lark,Blanford's Lark,LC
Calandrella blanfordi blanfordi,,,
Calandrella blanfordi erlangeri,,,
Calandrella eremica,Rufous-capped Lark,Rufous-capped Lark,LC
Calandrella eremica eremica,,,
Calandrella eremica daaroodensis,,,
Calandrella brachydactyla,Greater Short-toed Lark,Ciocârlie de stol,LC
Calandrella brachydactyla brachydactyla,,,
Calandrella brachydactyla hungarica,,,
Calandrella brachydactyla rubiginosa,,,
Calandrella brachydactyla hermonensis,,,
Calandrella brachydactyla woltersi,,,
Calandrella brachydactyla artemisiana,,,
Calandrella brachydactyla longipennis,,,
Calandrella brachydactyla orientalis,,,
Calandrella cinerea,Red-capped Lark,Red-capped Lark,LC
Calandrella cinerea rufipecta,,,
Calandrella cinerea williamsi,,,
Calandrella cinerea saturatior,,,
Calandrella cinerea spleniata,,,
Calandrella cinerea cinerea,,,
Calandrella dukhunensis,Mongolian Short-toed Lark,Mongolian Short-toed Lark,LC
Calandrella acutirostris,Hume's Short-toed Lark,Ciocârlie asiatică cu gât alb,LC
Calandrella acutirostris acutirostris,,,
Calandrella acutirostris tibetana,,,
Melanocorypha,,,
Melanocorypha bimaculata,Bimaculated Lark,Ciocârlie cu două pete,LC
Melanocorypha mongolica,Mongolian Lark,Mongolian Lark,LC
Melanocorypha maxima,Tibetan Lark,Tibetan Lark,LC
Melanocorypha yeltoniensis,Black Lark,Ciocârlie neagră,LC
Melanocorypha calandra,Calandra Lark,Ciocârlie de bărăgan,LC
Melanocorypha calandra calandra,,,
Melanocorypha calandra psammochroa,,,
Melanocorypha calandra gaza,,,
Melanocorypha calandra hebraica,,,
Chersophilus,,,
Chersophilus duponti,Dupont's Lark,Ciocârlie de stepă,VU
Chersophilus duponti duponti,,,
Chersophilus duponti margaritae,,,
Eremalauda,,,
Eremalauda dunni,Dunn's Lark,Ciocârlie de nisip,LC
Eremalauda eremodites,Arabian Lark,Arabian Lark,LC
Alaudala,,,
Alaudala somalica,Somali Short-toed Lark,Somali Short-toed Lark,LC
Alaudala somalica perconfusa,,,
Alaudala somalica somalica,,,
Alaudala somalica megaensis,,,
Alaudala somalica athensis,,,
Alaudala cheleensis,Asian Short-toed Lark,Asian Short-toed Lark,LC
Alaudala cheleensis leucophaea,,,
Alaudala cheleensis seebohmi,,,
Alaudala cheleensis tuvinica,,,
Alaudala cheleensis cheleensis,,,
Alaudala rufescens,Mediterranean Short-toed Lark,Ciocârlie mică,LC
Alaudala rufescens rufescens,,,
Alaudala rufescens apetzii,,,
Alaudala rufescens minor,,,
Alaudala raytal,Sand Lark,Sand Lark,LC
Alaudala raytal raytal,,,
Alaudala raytal adamsi,,,
Alaudala heinei,Turkestan Short-toed Lark,Turkestan Short-toed Lark,LC
Alaudala heinei heinei,,,
Alaudala heinei aharonii,,,
Alaudala heinei persica,,,
Nicatoridae,,,
Nicator,,,
Nicator chloris,Western Nicator,Western Nicator,LC
Nicator gularis,Eastern Nicator,Eastern Nicator,LC
Nicator vireo,Yellow-throated Nicator,Yellow-throated Nicator,LC
Macrosphenidae,,,
Macrosphenus,,,
Macrosphenus kempi,Kemp's Longbill,Kemp's Longbill,LC
Macrosphenus kempi kempi,,,
Macrosphenus kempi flammeus,,,
Macrosphenus flavicans,Yellow Longbill,Yellow Longbill,LC
Macrosphenus flavicans flavicans,,,
Macrosphenus flavicans hypochondriacus,,,
Macrosphenus concolor,Grey Longbill,Gray Longbill,LC
Macrosphenus pulitzeri,Pulitzer's Longbill,Pulitzer's Longbill,EN
Macrosphenus kretschmeri,Kretschmer's Longbill,Kretschmer's Longbill,LC
Macrosphenus kretschmeri kretschmeri,,,
Macrosphenus kretschmeri griseiceps,,,
Achaetops,,,
Achaetops pycnopygius,Rockrunner,Rockrunner,LC
Achaetops pycnopygius pycnopygius,,,
Achaetops pycnopygius spadix,,,
Sphenoeacus,,,
Sphenoeacus afer,Cape Grassbird,Cape Grassbird,LC
Sphenoeacus afer excisus,,,
Sphenoeacus afer natalensis,,,
Sphenoeacus afer intermedius,,,
Sphenoeacus afer afer,,,
Melocichla,,,
Melocichla mentalis,Moustached Grass Warbler,Moustached Grass-Warbler,LC
Melocichla mentalis mentalis,,,
Melocichla mentalis amauroura,,,
Melocichla mentalis orientalis,,,
Melocichla mentalis luangwae,,,
Cryptillas,,,
Cryptillas victorini,Victorin's Warbler,Victorin's Warbler,LC
Sylvietta,,,
Sylvietta virens,Green Crombec,Green Crombec,LC
Sylvietta virens flaviventris,,,
Sylvietta virens virens,,,
Sylvietta virens baraka,,,
Sylvietta virens tando,,,
Sylvietta denti,Lemon-bellied Crombec,Lemon-bellied Crombec,LC
Sylvietta denti hardyi,,,
Sylvietta denti denti,,,
Sylvietta leucophrys,White-browed Crombec,White-browed Crombec,NE
Sylvietta leucophrys leucophrys,,,
Sylvietta leucophrys chloronota,,,
Sylvietta leucophrys chapini,,,
Sylvietta brachyura,Northern Crombec,Northern Crombec,NE
Sylvietta brachyura brachyura,,,
Sylvietta brachyura carnapi,,,
Sylvietta brachyura leucopsis,,,
Sylvietta philippae,Philippa's Crombec,Short-billed Crombec,DD
Sylvietta ruficapilla,Red-capped Crombec,Red-capped Crombec,LC
Sylvietta ruficapilla schoutedeni,,,
Sylvietta ruficapilla rufigenis,,,
Sylvietta ruficapilla chubbi,,,
Sylvietta ruficapilla makayii,,,
Sylvietta ruficapilla ruficapilla,,,
Sylvietta ruficapilla gephyra,,,
Sylvietta whytii,Red-faced Crombec,Red-faced Crombec,LC
Sylvietta whytii loringi,,,
Sylvietta whytii jacksoni,,,
Sylvietta whytii minima,,,
Sylvietta whytii whytii,,,
Sylvietta isabellina,Somali Crombec,Somali Crombec,LC
Sylvietta rufescens,Long-billed Crombec,Long-billed Crombec,LC
Sylvietta rufescens adelphe,,,
Sylvietta rufescens flecki,,,
Sylvietta rufescens ansorgei,,,
Sylvietta rufescens pallida,,,
Sylvietta rufescens resurga,,,
Sylvietta rufescens rufescens,,,
Sylvietta rufescens diverga,,,
Cisticolidae,,,
Neomixis,,,
Neomixis tenella,Common Jery,Common Jery,LC
Neomixis tenella tenella,,,
Neomixis tenella decaryi,,,
Neomixis tenella orientalis,,,
Neomixis tenella debilis,,,
Neomixis viridis,Green Jery,Green Jery,NT
Neomixis viridis delacouri,,,
Neomixis viridis viridis,,,
Neomixis striatigula,Stripe-throated Jery,Stripe-throated Jery,NE
Neomixis striatigula sclateri,,,
Neomixis striatigula striatigula,,,
Neomixis striatigula pallidior,,,
Micromacronus,,,
Micromacronus leytensis,Visayan Miniature Babbler,Leyte Plumed-Warbler,NT
Micromacronus sordidus,Mindanao Miniature Babbler,Mindanao Plumed-Warbler,NT
Eremomela,,,
Eremomela flavicrissalis,Yellow-vented Eremomela,Yellow-vented Eremomela,LC
Eremomela icteropygialis,Yellow-bellied Eremomela,Yellow-bellied Eremomela,LC
Eremomela icteropygialis alexanderi,,,
Eremomela icteropygialis griseoflava,,,
Eremomela icteropygialis abdominalis,,,
Eremomela icteropygialis polioxantha,,,
Eremomela icteropygialis helenorae,,,
Eremomela icteropygialis puellula,,,
Eremomela icteropygialis sharpei,,,
Eremomela icteropygialis viriditincta,,,
Eremomela icteropygialis icteropygialis,,,
Eremomela icteropygialis saturatior,,,
Eremomela icteropygialis salvadorii,,,
Eremomela pusilla,Senegal Eremomela,Senegal Eremomela,LC
Eremomela canescens,Green-backed Eremomela,Green-backed Eremomela,LC
Eremomela canescens elegans,,,
Eremomela canescens abyssinica,,,
Eremomela canescens canescens,,,
Eremomela scotops,Green-capped Eremomela,Green-capped Eremomela,LC
Eremomela scotops kikuyuensis,,,
Eremomela scotops citriniceps,,,
Eremomela scotops congensis,,,
Eremomela scotops pulchra,,,
Eremomela scotops scotops,,,
Eremomela gregalis,Karoo Eremomela,Karoo Eremomela,LC
Eremomela gregalis gregalis,,,
Eremomela gregalis albigularis,,,
Eremomela badiceps,Rufous-crowned Eremomela,Rufous-crowned Eremomela,LC
Eremomela badiceps fantiensis,,,
Eremomela badiceps latukae,,,
Eremomela badiceps badiceps,,,
Eremomela turneri,Turner's Eremomela,Turner's Eremomela,NT
Eremomela turneri kalindei,,,
Eremomela turneri turneri,,,
Eremomela atricollis,Black-necked Eremomela,Black-necked Eremomela,LC
Eremomela usticollis,Burnt-necked Eremomela,Burnt-neck Eremomela,LC
Eremomela usticollis rensi,,,
Eremomela usticollis usticollis,,,
Drymocichla,,,
Drymocichla incana,Red-winged Grey Warbler,Red-winged Gray Warbler,LC
Schistolais,,,
Schistolais leontica,Sierra Leone Prinia,Sierra Leone Prinia,EN
Schistolais leucopogon,White-chinned Prinia,White-chinned Prinia,LC
Schistolais leucopogon leucopogon,,,
Schistolais leucopogon reichenowi,,,
Oreophilais,,,
Oreophilais robertsi,Roberts's Warbler,Roberts's Warbler,NT
Phragmacia,,,
Phragmacia substriata,Namaqua Warbler,Namaqua Warbler,LC
Phragmacia substriata confinis,,,
Phragmacia substriata substriata,,,
Urolais,,,
Urolais epichlorus,Green Longtail,Green Longtail,LC
Urolais epichlorus epichlorus,,,
Urolais epichlorus cinderella,,,
Urolais epichlorus mariae,,,
Oreolais,,,
Oreolais ruwenzorii,Rwenzori Apalis,Rwenzori Apalis,LC
Oreolais pulcher,Black-collared Apalis,Black-collared Apalis,LC
Oreolais pulcher pulcher,,,
Oreolais pulcher murphyi,,,
Artisornis,,,
Artisornis metopias,Red-capped Forest Warbler,African Tailorbird,LC
Artisornis metopias metopias,,,
Artisornis metopias altus,,,
Artisornis moreaui,Long-billed Forest Warbler,Long-billed Tailorbird,NE
Artisornis moreaui moreaui,,,
Artisornis moreaui sousae,,,
Poliolais,,,
Poliolais lopezi,White-tailed Warbler,White-tailed Warbler,LC
Poliolais lopezi alexanderi,,,
Poliolais lopezi lopezi,,,
Poliolais lopezi manengubae,,,
Calamonastes,,,
Calamonastes undosus,Miombo Wren-Warbler,Miombo Wren-Warbler,LC
Calamonastes undosus cinereus,,,
Calamonastes undosus huilae,,,
Calamonastes undosus katangae,,,
Calamonastes undosus undosus,,,
Calamonastes stierlingi,Stierling's Wren-Warbler,Stierling's Wren-Warbler,LC
Calamonastes stierlingi stierlingi,,,
Calamonastes stierlingi irwini,,,
Calamonastes stierlingi olivascens,,,
Calamonastes stierlingi pintoi,,,
Calamonastes simplex,Grey Wren-Warbler,Gray Wren-Warbler,LC
Calamonastes fasciolatus,Barred Wren-Warbler,Barred Wren-Warbler,LC
Calamonastes fasciolatus pallidior,,,
Calamonastes fasciolatus fasciolatus,,,
Calamonastes fasciolatus europhilus,,,
Camaroptera,,,
Camaroptera brachyura,Bleating Camaroptera,Green-backed Camaroptera,LC
Camaroptera brachyura pileata,,,
Camaroptera brachyura fugglescouchmani,,,
Camaroptera brachyura bororensis,,,
Camaroptera brachyura constans,,,
Camaroptera brachyura brachyura,,,
Camaroptera brachyura brevicaudata,,,
Camaroptera brachyura tincta,,,
Camaroptera brachyura abessinica,,,
Camaroptera brachyura insulata,,,
Camaroptera brachyura aschani,,,
Camaroptera brachyura erlangeri,,,
Camaroptera brachyura griseigula,,,
Camaroptera brachyura intercalata,,,
Camaroptera brachyura sharpei,,,
Camaroptera brachyura transitiva,,,
Camaroptera brachyura beirensis,,,
Camaroptera harterti,Hartert's Camaroptera,Hartert's Camaroptera,LC
Camaroptera superciliaris,Yellow-browed Camaroptera,Yellow-browed Camaroptera,LC
Camaroptera chloronota,Olive-green Camaroptera,Olive-green Camaroptera,NE
Camaroptera chloronota kelsalli,,,
Camaroptera chloronota chloronota,,,
Camaroptera chloronota granti,,,
Camaroptera chloronota kamitugaensis,,,
Camaroptera chloronota toroensis,,,
Spiloptila,,,
Spiloptila clamans,Cricket Warbler,Cricket Longtail,LC
Phyllolais,,,
Phyllolais pulchella,Buff-bellied Warbler,Buff-bellied Warbler,LC
Apalis,,,
Apalis thoracica,Bar-throated Apalis,Bar-throated Apalis,LC
Apalis thoracica griseiceps,,,
Apalis thoracica pareensis,,,
Apalis thoracica murina,,,
Apalis thoracica uluguru,,,
Apalis thoracica youngi,,,
Apalis thoracica whitei,,,
Apalis thoracica rhodesiae,,,
Apalis thoracica quarta,,,
Apalis thoracica arnoldi,,,
Apalis thoracica flaviventris,,,
Apalis thoracica spelonkensis,,,
Apalis thoracica drakensbergensis,,,
Apalis thoracica lebomboensis,,,
Apalis thoracica venusta,,,
Apalis thoracica thoracica,,,
Apalis thoracica claudei,,,
Apalis thoracica capensis,,,
Apalis thoracica griseopyga,,,
Apalis fuscigularis,Taita Apalis,Taita Apalis,CR
Apalis flavigularis,Yellow-throated Apalis,Yellow-throated Apalis,NT
Apalis lynesi,Namuli Apalis,Namuli Apalis,EN
Apalis nigriceps,Black-capped Apalis,Black-capped Apalis,LC
Apalis nigriceps nigriceps,,,
Apalis nigriceps collaris,,,
Apalis jacksoni,Black-throated Apalis,Black-throated Apalis,LC
Apalis jacksoni bambuluensis,,,
Apalis jacksoni minor,,,
Apalis jacksoni jacksoni,,,
Apalis chariessa,White-winged Apalis,White-winged Apalis,NT
Apalis chariessa chariessa,,,
Apalis chariessa macphersoni,,,
Apalis binotata,Lowland Masked Apalis,Masked Apalis,LC
Apalis personata,Mountain Masked Apalis,Black-faced Apalis,LC
Apalis personata personata,,,
Apalis personata marungensis,,,
Apalis flavida,Yellow-breasted Apalis,Yellow-breasted Apalis,NE
Apalis flavida viridiceps,,,
Apalis flavida flavocincta,,,
Apalis flavida caniceps,,,
Apalis flavida abyssinica,,,
Apalis flavida pugnax,,,
Apalis flavida golzi,,,
Apalis flavida neglecta,,,
Apalis flavida flavida,,,
Apalis flavida florisuga,,,
Apalis ruddi,Rudd's Apalis,Rudd's Apalis,LC
Apalis ruddi ruddi,,,
Apalis ruddi caniviridis,,,
Apalis ruddi fumosa,,,
Apalis sharpii,Sharpe's Apalis,Sharpe's Apalis,NT
Apalis rufogularis,Buff-throated Apalis,Buff-throated Apalis,LC
Apalis rufogularis rufogularis,,,
Apalis rufogularis sanderi,,,
Apalis rufogularis nigrescens,,,
Apalis rufogularis angolensis,,,
Apalis rufogularis brauni,,,
Apalis rufogularis kigezi,,,
Apalis argentea,Kungwe Apalis,Kungwe Apalis,LC
Apalis bamendae,Bamenda Apalis,Bamenda Apalis,LC
Apalis goslingi,Gosling's Apalis,Gosling's Apalis,LC
Apalis kaboboensis,Kabobo Apalis,Kabobo Apalis,VU
Apalis porphyrolaema,Chestnut-throated Apalis,Chestnut-throated Apalis,LC
Apalis chapini,Chapin's Apalis,Chapin's Apalis,LC
Apalis chapini chapini,,,
Apalis chapini strausae,,,
Apalis melanocephala,Black-headed Apalis,Black-headed Apalis,LC
Apalis melanocephala nigrodorsalis,,,
Apalis melanocephala moschi,,,
Apalis melanocephala muhuluensis,,,
Apalis melanocephala melanocephala,,,
Apalis melanocephala lightoni,,,
Apalis melanocephala fuliginosa,,,
Apalis melanocephala tenebricosa,,,
Apalis melanocephala adjacens,,,
Apalis melanocephala addenda,,,
Apalis chirindensis,Chirinda Apalis,Chirinda Apalis,VU
Apalis chirindensis vumbae,,,
Apalis chirindensis chirindensis,,,
Apalis cinerea,Grey Apalis,Gray Apalis,LC
Apalis cinerea cinerea,,,
Apalis cinerea sclateri,,,
Apalis cinerea grandis,,,
Apalis alticola,Brown-headed Apalis,Brown-headed Apalis,LC
Apalis alticola dowsetti,,,
Apalis alticola alticola,,,
Apalis karamojae,Karamoja Apalis,Karamoja Apalis,VU
Apalis stronachi,Maasai Apalis,Maasai Apalis,VU
Orthotomus,,,
Orthotomus sutorius,Common Tailorbird,Common Tailorbird,LC
Orthotomus sutorius guzuratus,,,
Orthotomus sutorius patia,,,
Orthotomus sutorius luteus,,,
Orthotomus sutorius inexpectatus,,,
Orthotomus sutorius longicauda,,,
Orthotomus sutorius maculicollis,,,
Orthotomus sutorius edela,,,
Orthotomus sutorius fernandonis,,,
Orthotomus sutorius sutorius,,,
Orthotomus frontalis,Rufous-fronted Tailorbird,Rufous-fronted Tailorbird,LC
Orthotomus frontalis frontalis,,,
Orthotomus frontalis mearnsi,,,
Orthotomus atrogularis,Dark-necked Tailorbird,Dark-necked Tailorbird,LC
Orthotomus atrogularis nitidus,,,
Orthotomus atrogularis atrogularis,,,
Orthotomus atrogularis major,,,
Orthotomus atrogularis humphreysi,,,
Orthotomus chaktomuk,Cambodian Tailorbird,Cambodian Tailorbird,NT
Orthotomus ruficeps,Ashy Tailorbird,Ashy Tailorbird,LC
Orthotomus ruficeps cineraceus,,,
Orthotomus ruficeps germaini,,,
Orthotomus ruficeps baeus,,,
Orthotomus ruficeps concinnus,,,
Orthotomus ruficeps ruficeps,,,
Orthotomus ruficeps palliolatus,,,
Orthotomus ruficeps baweanus,,,
Orthotomus ruficeps borneoensis,,,
Orthotomus ruficeps cagayanensis,,,
Orthotomus sepium,Olive-backed Tailorbird,Olive-backed Tailorbird,LC
Orthotomus sepium sundaicus,,,
Orthotomus sepium sepium,,,
Orthotomus sericeus,Rufous-tailed Tailorbird,Rufous-tailed Tailorbird,LC
Orthotomus sericeus hesperius,,,
Orthotomus sericeus sericeus,,,
Orthotomus sericeus rubicundulus,,,
Orthotomus castaneiceps,Visayan Tailorbird,Visayan Tailorbird,LC
Orthotomus castaneiceps castaneiceps,,,
Orthotomus castaneiceps rabori,,,
Orthotomus derbianus,Grey-backed Tailorbird,Gray-backed Tailorbird,LC
Orthotomus derbianus derbianus,,,
Orthotomus derbianus nilesi,,,
Orthotomus chloronotus,Green-backed Tailorbird,Green-backed Tailorbird,LC
Orthotomus samarensis,Yellow-breasted Tailorbird,Yellow-breasted Tailorbird,LC
Orthotomus nigriceps,Black-headed Tailorbird,White-browed Tailorbird,LC
Orthotomus nigriceps nigriceps,,,
Orthotomus nigriceps luminosus,,,
Orthotomus cinereiceps,White-eared Tailorbird,White-eared Tailorbird,LC
Orthotomus cinereiceps obscurior,,,
Orthotomus cinereiceps cinereiceps,,,
Prinia,,,
Prinia crinigera,Himalayan Prinia,Himalayan Prinia,NE
Prinia crinigera striatula,,,
Prinia crinigera crinigera,,,
Prinia crinigera yunnanensis,,,
Prinia crinigera bangsi,,,
Prinia striata,Striped Prinia,Striped Prinia,NE
Prinia striata catharia,,,
Prinia striata parumstriata,,,
Prinia striata striata,,,
Prinia cooki,Burmese Prinia,Burmese Prinia,NE
Prinia rocki,Annam Prinia,Annam Prinia,NE
Prinia polychroa,Brown Prinia,Brown Prinia,NE
Prinia polychroa polychroa,,,
Prinia polychroa deignani,,,
Prinia atrogularis,Black-throated Prinia,Black-throated Prinia,LC
Prinia khasiana,Rufous-crowned Prinia,Rufous-crowned Prinia,LC
Prinia superciliaris,Hill Prinia,Hill Prinia,LC
Prinia superciliaris erythropleura,,,
Prinia superciliaris superciliaris,,,
Prinia superciliaris klossi,,,
Prinia superciliaris waterstradti,,,
Prinia superciliaris dysancrita,,,
Prinia cinereocapilla,Grey-crowned Prinia,Gray-crowned Prinia,VU
Prinia buchanani,Rufous-fronted Prinia,Rufous-fronted Prinia,LC
Prinia rufescens,Rufescent Prinia,Rufescent Prinia,LC
Prinia rufescens rufescens,,,
Prinia rufescens beavani,,,
Prinia rufescens dalatensis,,,
Prinia rufescens objurgans,,,
Prinia rufescens peninsularis,,,
Prinia rufescens extrema,,,
Prinia hodgsonii,Grey-breasted Prinia,Gray-breasted Prinia,LC
Prinia hodgsonii rufula,,,
Prinia hodgsonii confusa,,,
Prinia hodgsonii hodgsonii,,,
Prinia hodgsonii erro,,,
Prinia hodgsonii albogularis,,,
Prinia hodgsonii pectoralis,,,
Prinia familiaris,Bar-winged Prinia,Bar-winged Prinia,NT
Prinia gracilis,Graceful Prinia,Graceful Prinia,NE
Prinia gracilis natronensis,,,
Prinia gracilis deltae,,,
Prinia gracilis gracilis,,,
Prinia gracilis ashi,,,
Prinia gracilis yemenensis,,,
Prinia gracilis hufufae,,,
Prinia gracilis palaestinae,,,
Prinia lepida,Delicate Prinia,Delicate Prinia,NE
Prinia lepida akyildizi,,,
Prinia lepida carpenteri,,,
Prinia lepida lepida,,,
Prinia lepida stevensi,,,
Prinia sylvatica,Jungle Prinia,Jungle Prinia,LC
Prinia sylvatica insignis,,,
Prinia sylvatica gangetica,,,
Prinia sylvatica mahendrae,,,
Prinia sylvatica sylvatica,,,
Prinia sylvatica valida,,,
Prinia flaviventris,Yellow-bellied Prinia,Yellow-bellied Prinia,NE
Prinia flaviventris sindiana,,,
Prinia flaviventris flaviventris,,,
Prinia flaviventris sonitans,,,
Prinia flaviventris delacouri,,,
Prinia flaviventris rafflesi,,,
Prinia flaviventris halistona,,,
Prinia flaviventris latrunculus,,,
Prinia socialis,Ashy Prinia,Ashy Prinia,LC
Prinia socialis stewarti,,,
Prinia socialis inglisi,,,
Prinia socialis socialis,,,
Prinia socialis brevicauda,,,
Prinia subflava,Tawny-flanked Prinia,Tawny-flanked Prinia,LC
Prinia subflava subflava,,,
Prinia subflava pallescens,,,
Prinia subflava tenella,,,
Prinia subflava melanorhyncha,,,
Prinia subflava graueri,,,
Prinia subflava affinis,,,
Prinia subflava kasokae,,,
Prinia subflava mutatrix,,,
Prinia subflava bechuanae,,,
Prinia subflava pondoensis,,,
Prinia inornata,Plain Prinia,Plain Prinia,LC
Prinia inornata terricolor,,,
Prinia inornata fusca,,,
Prinia inornata blanfordi,,,
Prinia inornata extensicauda,,,
Prinia inornata herberti,,,
Prinia inornata flavirostris,,,
Prinia inornata inornata,,,
Prinia inornata franklinii,,,
Prinia inornata insularis,,,
Prinia inornata blythi,,,
Prinia somalica,Pale Prinia,Pale Prinia,LC
Prinia somalica somalica,,,
Prinia somalica erlangeri,,,
Prinia fluviatilis,River Prinia,River Prinia,LC
Prinia flavicans,Black-chested Prinia,Black-chested Prinia,LC
Prinia flavicans bihe,,,
Prinia flavicans ansorgei,,,
Prinia flavicans flavicans,,,
Prinia flavicans nubilosa,,,
Prinia maculosa,Karoo Prinia,Karoo Prinia,LC
Prinia maculosa psammophila,,,
Prinia maculosa maculosa,,,
Prinia maculosa exultans,,,
Prinia hypoxantha,Drakensberg Prinia,Drakensberg Prinia,LC
Prinia molleri,Sao Tome Prinia,Sao Tome Prinia,LC
Prinia bairdii,Banded Prinia,Banded Prinia,LC
Prinia bairdii bairdii,,,
Prinia bairdii heinrichi,,,
Prinia bairdii obscura,,,
Prinia bairdii melanops,,,
Prinia erythroptera,Red-winged Prinia,Red-winged Prinia,LC
Prinia erythroptera erythroptera,,,
Prinia erythroptera jodoptera,,,
Prinia erythroptera major,,,
Prinia erythroptera rhodoptera,,,
Prinia rufifrons,Red-fronted Prinia,Red-fronted Prinia,LC
Prinia rufifrons rufifrons,,,
Prinia rufifrons smithi,,,
Prinia rufifrons rufidorsalis,,,
Euryptila,,,
Euryptila subcinnamomea,Cinnamon-breasted Warbler,Cinnamon-breasted Warbler,LC
Scepomycter,,,
Scepomycter winifredae,Winifred's Warbler,Mrs. Moreau's Warbler,NT
Scepomycter winifredae rubehoensis,,,
Scepomycter winifredae winifredae,,,
Incana,,,
Incana incana,Socotra Warbler,Socotra Warbler,LC
Malcorus,,,
Malcorus pectoralis,Rufous-eared Warbler,Rufous-eared Warbler,LC
Malcorus pectoralis etoshae,,,
Malcorus pectoralis ocularius,,,
Malcorus pectoralis pectoralis,,,
Hypergerus,,,
Hypergerus atriceps,Oriole Warbler,Oriole Warbler,LC
Eminia,,,
Eminia lepida,Grey-capped Warbler,Gray-capped Warbler,LC
Bathmocercus,,,
Bathmocercus cerviniventris,Black-headed Rufous Warbler,Black-capped Rufous-Warbler,DD
Bathmocercus rufus,Black-faced Rufous Warbler,Black-faced Rufous-Warbler,LC
Bathmocercus rufus rufus,,,
Bathmocercus rufus vulpinus,,,
Cisticola,,,
Cisticola erythrops,Red-faced Cisticola,Red-faced Cisticola,LC
Cisticola erythrops erythrops,,,
Cisticola erythrops pyrrhomitra,,,
Cisticola erythrops niloticus,,,
Cisticola erythrops sylvia,,,
Cisticola erythrops nyasa,,,
Cisticola erythrops lepe,,,
Cisticola cantans,Singing Cisticola,Singing Cisticola,LC
Cisticola cantans swanzii,,,
Cisticola cantans concolor,,,
Cisticola cantans adamauae,,,
Cisticola cantans cantans,,,
Cisticola cantans belli,,,
