SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR,FAMILY_CODE
Macropygia timorlaoensis,Tanimbar cuckoo-dove,tancud1,species,2050.0,TCDO TACD,MATI,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Macropygia amboinensis,Amboyna cuckoo-dove,sbcdov1,species,2051.0,SBCD AMCD ACDO,MAAM,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Macropygia doreya,Sultan's cuckoo-dove,sulcud1,species,2062.0,SUCD SCDO SBCD,MADO,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Macropygia doreya [albicapilla Group],Sultan's cuckoo-dove (Sulawesi),sulcud3,issf,2063.0,SUCD SCDO SBCD,MADO,,Columbiformes,Pigeons and Doves,Columbidae,sulcud1,,,columb2
Macropygia doreya [doreya Group],Sultan's cuckoo-dove (Sultan's),sulcud4,issf,2068.0,SUCD SCDO SBCD,MADO,,Columbiformes,Pigeons and Doves,Columbidae,sulcud1,,,columb2
Macropygia amboinensis/doreya,Amboyna/Sultan's Cuckoo-Dove,y01028,slash,2072.0,AMCD ACDO SUCD SCDO SBCD,MADO MAAM,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Macropygia rufipennis,Andaman cuckoo-dove,ancdov1,species,2073.0,ANCD ACDO,MARU,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Macropygia tenuirostris,Philippine cuckoo-dove,phcdov1,species,2076.0,PHCD PCDO,MATE,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Macropygia [undescribed form],Palawan cuckoo-dove (undescribed form),palcud1,form,2081.0,PCDO,,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Macropygia emiliana,Ruddy cuckoo-dove,rucdov1,species,2082.0,RUCD RCDO,MAEM,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Macropygia cinnamomea,Enggano cuckoo-dove,engcud1,species,2085.0,ECDO RCDO ENCD,MACI,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Macropygia modiglianii,Barusan cuckoo-dove,barcud1,species,2086.0,BACD RCDO BCDO,MAMO,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Macropygia nigrirostris,Black-billed cuckoo-dove,bbcdov1,species,2090.0,BTCD BBCD,MANI,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Macropygia mackinlayi,Spot-breasted cuckoo-dove,macdov1,species,2091.0,MCDO MACD SBCD,MAMA,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Macropygia ruficeps,Rola-cuco-pequena,licdov1,species,2094.0,LCDO LICD,MARU,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Macropygia ruficeps [undescribed form],Rola-cuco-pequena (Eucalypt),litcud9,form,2103.0,LICD LCDO,MARU,,Columbiformes,Pigeons and Doves,Columbidae,licdov1,,,columb2
Macropygia sp.,Macropygia sp.,macrop1,spuh,2104.0,,,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Reinwardtoena reinwardti,Great cuckoo-dove,grcdov2,species,2105.0,GRCD GCDO,RERE,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Reinwardtoena browni,Pied cuckoo-dove,picdov1,species,2109.0,PCDO PICD,REBR,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Reinwardtoena crassirostris,Crested cuckoo-dove,crcdov1,species,2110.0,CCDO CRCD,RECR,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Turacoena manadensis,White-faced cuckoo-dove,wfcdov1,species,2111.0,WFCD,TUMA,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Turacoena sulaensis,Sula cuckoo-dove,sulcud2,species,2112.0,SUCD SCDO,TUSU,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Turacoena modesta,Rola-cuco-ardósia,slacud1,species,2113.0,BCDO SLCD BLCD SCDO,TUMO,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Turtur chalcospilos,Emerald-spotted wood-dove,eswdov1,species,2114.0,ESWD,TUCH,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Turtur abyssinicus,Pomba-brava,bbwdov1,species,2115.0,BBWD,TUAB,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Turtur afer,Rola-de-manchas-azuis,bswdov1,species,2116.0,BSWD,TUAF,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Turtur tympanistria,Rola-de-papo-branco,tamdov1,species,2117.0,TADO,TUTY,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Turtur brehmeri,Blue-headed wood-dove,bhwdov1,species,2118.0,BHWD,TUBR,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Turtur sp.,Turtur sp.,turtur1,spuh,2121.0,,,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Oena capensis,Rolinha-rabilonga,namdov1,species,2122.0,NADO,OECA,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Chalcophaps indica,Asian emerald dove,emedov2,species,2125.0,AEDO GCED CEDO,CHIN,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Chalcophaps longirostris,Pacific emerald dove,emedov3,species,2132.0,PEDO BCED,CHLO,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Chalcophaps indica x longirostris,Asian x pacific emerald dove (hybrid),x00849,hybrid,2136.0,AEDO GCED CEDO PEDO BCED,CHIN CHLO,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Chalcophaps indica/longirostris,Asian/Pacific Emerald Dove,emedov1,slash,2137.0,AEDO GCED CEDO PEDO BCED,CHIN CHLO,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Chalcophaps stephani,Stephan's dove,stedov1,species,2138.0,STDO SEDO,CHST,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Henicophaps albifrons,New guinea bronzewing,negbro1,species,2142.0,NGBR,HEAL,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Henicophaps foersteri,New britain bronzewing,nebbro1,species,2145.0,NBBR,HEFO,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Pampusana hoedtii,Rola-terrícola-de-wetar,wegdov1,species,2146.0,WGDO WEGD,PAHO,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Pampusana stairi,Shy ground dove,frgdov1,species,2147.0,SHGD SGDO TGDO,PAST,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Pampusana sanctaecrucis,Santa cruz ground dove,scgdov1,species,2148.0,SCGD,PASA,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Pampusana salamonis,Thick-billed ground dove,tbgdov1,species,2149.0,TBGD,PASA,,Columbiformes,Pigeons and Doves,Columbidae,,true,1927,columb2
Pampusana ferruginea,Tanna ground dove,tangrd1,species,2150.0,TGDO TAGD,PAFE,,Columbiformes,Pigeons and Doves,Columbidae,,true,1774,columb2
Pampusana beccarii,Bronze ground dove,brgdov1,species,2151.0,WBGD BGDO,PABE,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Pampusana beccarii beccarii,Bronze ground dove (Western),brogrd1,issf,2152.0,WBGD BGDO,PABE,,Columbiformes,Pigeons and Doves,Columbidae,brgdov1,,,columb2
Pampusana beccarii [johannae Group],Bronze ground dove (Eastern),brogrd2,issf,2153.0,WBGD BGDO,PABE,,Columbiformes,Pigeons and Doves,Columbidae,brgdov1,,,columb2
Pampusana canifrons,Palau ground dove,pagdov1,species,2160.0,PAGD PGDO,PACA,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Pampusana jobiensis,White-bibbed ground dove,wbgdov1,species,2161.0,WBGD,PAJO,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Pampusana rubescens,Marquesan ground dove,margrd1,species,2164.0,MGDO MAGD,PARU,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Pampusana kubaryi,Caroline islands ground dove,cigdov1,species,2165.0,CGDO WFGD CIGD CAGD,PAKU,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Pampusana erythroptera,Polynesian ground dove,pogdov1,species,2166.0,POGD PGDO,PAER,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Pampusana xanthonura,White-throated ground dove,wtgdov1,species,2167.0,WTGD,PAXA,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Pampusana norfolkensis,Norfolk ground dove,norgrd1,species,2168.0,NGDO,PANO,,Columbiformes,Pigeons and Doves,Columbidae,,true,1800,columb2
Phaps chalcoptera,Common bronzewing,combro1,species,2169.0,COBR,PHCH,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Phaps elegans,Brush bronzewing,brubro1,species,2170.0,BRBR,PHEL,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Phaps chalcoptera/elegans,Common/Brush Bronzewing,y01230,slash,2173.0,COBR BRBR,PHCH PHEL,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Phaps histrionica,Flock bronzewing,flobro1,species,2174.0,FLBR,PHHI,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Ocyphaps lophotes,Crested pigeon,crepig1,species,2175.0,CRPI,OCLO,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Geophaps plumifera,Spinifex pigeon,spipig2,species,2178.0,WBBS SPPI,GEPL,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Geophaps plumifera ferruginea,Spinifex pigeon (Rufous-bellied),spipig4,issf,2179.0,WBBS SPPI,GEPL,,Columbiformes,Pigeons and Doves,Columbidae,spipig2,,,columb2
Geophaps plumifera plumifera/leucogaster,Spinifex pigeon (White-bellied),spipig5,issf,2180.0,WBBS SPPI,GEPL,,Columbiformes,Pigeons and Doves,Columbidae,spipig2,,,columb2
Geophaps scripta,Squatter pigeon,squpig1,species,2183.0,SQPI,GESC,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Geophaps smithii,Partridge pigeon,parpig1,species,2186.0,PAPI,GESM,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Geophaps smithii blaauwi,Partridge pigeon (Yellow-faced),parpig2,issf,2187.0,PAPI,GESM,,Columbiformes,Pigeons and Doves,Columbidae,parpig1,,,columb2
Geophaps smithii smithii,Partridge pigeon (Red-faced),parpig3,issf,2188.0,PAPI,GESM,,Columbiformes,Pigeons and Doves,Columbidae,parpig1,,,columb2
Petrophassa rufipennis,Chestnut-quilled rock-pigeon,cqrpig1,species,2189.0,CQRP,PERU,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Petrophassa albipennis,White-quilled rock-pigeon,wqrpig1,species,2190.0,WQRP,PEAL,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Leucosarcia melanoleuca,Wonga pigeon,wonpig1,species,2193.0,WOPI,LEME,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Geopelia cuneata,Rolinha-diamante,diadov1,species,2194.0,DIDO,GECU,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Geopelia striata,Zebra dove,zebdov,species,2195.0,ZEDO,GEST,ZEBD,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Geopelia placida,Peaceful dove,peadov1,species,2196.0,PEDO,GEPL,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Geopelia maugeus,Rola-de-timor,bardov2,species,2200.0,BADO,GEMA,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Geopelia humeralis,Bar-shouldered dove,basdov1,species,2201.0,BSDO,GEHU,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Columbina inca,Inca dove,incdov,species,2205.0,,COIN,INDO,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Columbina passerina,Rolinha-cinzenta,cogdov,species,2206.0,COGD,COPA,CGDO,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Columbina minuta,Rolinha-de-asa-acanelada,pbgdov1,species,2225.0,,COMI,PBGD,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Columbina talpacoti,Rolinha-púrpura,rugdov,species,2230.0,RUGD,COTA,RGDO,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Columbina passerina x talpacoti,Rolinha-cinzenta x rolinha-púrpura (híbrido),x01164,hybrid,2235.0,CGDO RUGD RGDO COGD,COTA COPA,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Columbina passerina/talpacoti,Rolinha-cinzenta/Rolinha-púrpura,y00852,slash,2236.0,CGDO COGD RUGD RGDO,COPA COTA,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Columbina buckleyi,Ecuadorian ground dove,ecgdov1,species,2237.0,EGDO ECGD,COBU,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Columbina squammata,Rolinha-fogo-apagou,scadov1,species,2240.0,SCDO,COSQ,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Columbina talpacoti x squammata,Rolinha-púrpura x rolinha-fogo-apagou (híbrido),x01153,hybrid,2243.0,SCDO RGDO RUGD,COSQ COTA,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Columbina picui,Rolinha-picui,pigdov1,species,2244.0,PIDO PGDO,COPI,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Columbina cruziana,Rolinha-de-bico-dourado,crgdov1,species,2247.0,CGDO CRGD,COCR,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Columbina cyanopis,Rolinha-do-planalto,begdov2,species,2248.0,BEGD,COCY,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Columbina sp.,Columbina sp.,y00320,spuh,2249.0,,,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Claravis pretiosa,Pararu-azul,blgdov1,species,2250.0,BLGD,CLPR,BGDO,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Paraclaravis mondetoura,Maroon-chested ground dove,mcgdov1,species,2251.0,,PAMO,MCGD,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Paraclaravis geoffroyi,Pararu-espelho,pwgdov1,species,2258.0,PWGD,PAGE,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Metriopelia ceciliae,Bare-faced ground dove,bfgdov1,species,2259.0,BFGD,MECE,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Metriopelia morenoi,Bare-eyed ground dove,begdov1,species,2263.0,MGDO BEGD MOGD,MEMO,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Metriopelia melanoptera,Black-winged ground dove,bwgdov1,species,2264.0,BWGD,MEME,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Metriopelia aymara,Golden-spotted ground dove,gsgdov1,species,2267.0,GSGD,MEAY,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Uropelia campestris,Rolinha-vaqueira,ltgdov1,species,2268.0,LTGD,URCA,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Starnoenas cyanocephala,Blue-headed quail-dove,bhqdov1,species,2269.0,,STCY,BHQD,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Geotrygon purpurata,Purple quail-dove,sapqud1,species,2270.0,PUQD PQDO,GEPU,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Geotrygon saphirina,Juriti-safira,sapqud2,species,2271.0,SQDO SAQD,GESA,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Geotrygon versicolor,Crested quail-dove,crqdov1,species,2274.0,CQDO,GEVE,CRQD,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Geotrygon montana,Pariri,ruqdov,species,2275.0,RQDO,GEMO,RUQD,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Geotrygon montana montana,Pariri (montana),rudqud1,issf,2276.0,RQDO RUQD,GEMO,,Columbiformes,Pigeons and Doves,Columbidae,ruqdov,,,columb2
Geotrygon montana martinica,Pariri (martinica),rudqud2,issf,2277.0,RUQD RQDO,GEMO,,Columbiformes,Pigeons and Doves,Columbidae,ruqdov,,,columb2
Geotrygon violacea,Juriti-vermelha,viqdov1,species,2278.0,VQDO,GEVI,VIQD,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Geotrygon caniceps,Gray-fronted quail-dove,gfqdov,species,2281.0,GHQD,GECA,GFQD,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Geotrygon leucometopia,White-fronted quail-dove,wfqdov,species,2282.0,WFQD,GELE,WFRQ,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Geotrygon chrysia,Key west quail-dove,kwqdov,species,2283.0,,GECH,KWQD,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Geotrygon mystacea,Bridled quail-dove,brqdov1,species,2284.0,BQDO,GEMY,BRQD,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Leptotrygon veraguensis,Olive-backed quail-dove,obqdov1,species,2285.0,,LEVE,OBQD,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Leptotila verreauxi,Juriti-pupu,whtdov,species,2286.0,,LEVE,WTDO,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Leptotila verreauxi [verreauxi Group],Juriti-pupu [grupo verreauxi],whtdov1,issf,2287.0,WTDO,LEVE,,Columbiformes,Pigeons and Doves,Columbidae,whtdov,,,columb2
Leptotila verreauxi decolor,Juriti-pupu (decolor),whtdov2,issf,2297.0,WTDO,LEVE,,Columbiformes,Pigeons and Doves,Columbidae,whtdov,,,columb2
Leptotila verreauxi [brasiliensis Group],Juriti-pupu [grupo brasiliensis],whtdov3,issf,2298.0,WTDO,LEVE,,Columbiformes,Pigeons and Doves,Columbidae,whtdov,,,columb2
Leptotila jamaicensis,Caribbean dove,cardov1,species,2303.0,,LEJA,CADO,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Leptotila cassinii,Gray-chested dove,grcdov1,species,2308.0,,LECA,GCDO,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Leptotila cassinii cerviniventris,Gray-chested dove (cerviniventris),gycdov3,issf,2309.0,GCDO,LECA,,Columbiformes,Pigeons and Doves,Columbidae,grcdov1,,,columb2
Leptotila cassinii rufinucha,Gray-chested dove (rufinucha),gycdov2,issf,2310.0,GCDO,LECA,,Columbiformes,Pigeons and Doves,Columbidae,grcdov1,,,columb2
Leptotila cassinii cassinii,Gray-chested dove (cassinii),gycdov1,issf,2311.0,GCDO,LECA,,Columbiformes,Pigeons and Doves,Columbidae,grcdov1,,,columb2
Leptotila conoveri,Tolima dove,toldov1,species,2312.0,TODO,LECO,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Leptotila ochraceiventris,Ochre-bellied dove,ocbdov1,species,2313.0,OBDO,LEOC,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Leptotila plumbeiceps,Gray-headed dove,gyhdov1,species,2314.0,GHBD,LEPL,GHDO,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Leptotila plumbeiceps plumbeiceps/notia,Gray-headed dove (Gray-headed),gyhdov2,issf,2315.0,GHDO GHBD,LEPL,,Columbiformes,Pigeons and Doves,Columbidae,gyhdov1,,,columb2
Leptotila plumbeiceps battyi/malae,Gray-headed dove (Brown-backed),gyhdov3,issf,2318.0,GHDO AZDO GHBD,LEPL,,Columbiformes,Pigeons and Doves,Columbidae,gyhdov1,,,columb2
Leptotila rufaxilla,Juriti-gemedeira,grfdov1,species,2321.0,GFDO,LERU,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Leptotila wellsi,Grenada dove,gredov1,species,2328.0,,LEWE,GRDO,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Leptotila pallida,Pallid dove,paldov1,species,2329.0,PADO,LEPA,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Leptotila megalura,Large-tailed dove,latdov1,species,2330.0,LTDO YUDO,LEME,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Leptotila sp.,Leptotila sp. (juriti),leptot1,spuh,2331.0,,,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Zentrygon carrikeri,Tuxtla quail-dove,tuqdov1,species,2332.0,TQDO,ZECA,TUQD,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Zentrygon costaricensis,Buff-fronted quail-dove,bfqdov1,species,2333.0,,ZECO,BFQD,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Zentrygon lawrencii,Purplish-backed quail-dove,pbqdov1,species,2334.0,,ZELA,PBQD,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Zentrygon albifacies,White-faced quail-dove,wfqdov1,species,2335.0,WFQD,ZEAL,WFAQ,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Zentrygon frenata,White-throated quail-dove,wtqdov1,species,2336.0,WTQD,ZEFR,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Zentrygon linearis,Lined quail-dove,liqdov1,species,2341.0,LQDO LIQD,ZELI,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Zentrygon linearis linearis,Lined quail-dove (linearis),linqud1,issf,2342.0,LIQD LQDO,ZELI,,Columbiformes,Pigeons and Doves,Columbidae,liqdov1,,,columb2
Zentrygon linearis trinitatis,Lined quail-dove (trinitatis),linqud2,issf,2343.0,LQDO LIQD,ZELI,,Columbiformes,Pigeons and Doves,Columbidae,liqdov1,,,columb2
Zentrygon chiriquensis,Chiriqui quail-dove,chqdov1,species,2344.0,CQDO,ZECH,CHQD,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Zentrygon goldmani,Russet-crowned quail-dove,rcqdov1,species,2345.0,,ZEGO,RCQD,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Geotrygon/Leptotrygon/Zentrygon sp.,quail-dove sp.,geotry1,spuh,2348.0,,,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Zenaida meloda,West peruvian dove,wepdov1,species,2349.0,WPDO,ZEME,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Zenaida asiatica,White-winged dove,whwdov,species,2350.0,,ZEAS,WWDO,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Zenaida aurita,Zenaida dove,zendov,species,2354.0,ZEDO,ZEAU,ZEND,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Zenaida galapagoensis,Galapagos dove,galdov1,species,2358.0,GADO,ZEGA,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Zenaida auriculata,Rola-de-bando,eardov1,species,2361.0,,ZEAU,EADO,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Zenaida macroura,Rola-carpideira,moudov,species,2373.0,,ZEMA,MODO,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Streptopelia decaocto x Zenaida macroura,Rola-de-colar x rola-carpideira (híbrido),x00767,hybrid,2379.0,CODO MODO ECDO EUCD,STDE ZEMA,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Zenaida asiatica x macroura,White-winged x mourning dove (hybrid),x01086,hybrid,2380.0,MODO WWDO,ZEAS ZEMA,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Zenaida aurita/macroura,Zenaida/Mourning Dove,y01207,slash,2381.0,ZEND MODO ZEDO,ZEAU ZEMA,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Zenaida auriculata/macroura,Eared/Mourning Dove,y01326,slash,2382.0,MODO EADO,ZEAU ZEMA,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Zenaida graysoni,Socorro dove,socdov1,species,2383.0,,ZEGR,SODO,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Caloenas nicobarica,Nicobar pigeon,nicpig1,species,2384.0,NIPI,CANI,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Caloenas maculata,Spotted green pigeon,spgpig1,species,2387.0,LIPI SGPI,CAMA,,Columbiformes,Pigeons and Doves,Columbidae,,true,0,columb2
Raphus cucullatus,Dodo,dodo1,species,2388.0,DODO,RACU,,Columbiformes,Pigeons and Doves,Columbidae,,true,1662,columb2
Pezophaps solitaria,Rodrigues solitaire,rodsol2,species,2389.0,ROSO,PESO,,Columbiformes,Pigeons and Doves,Columbidae,,true,1770,columb2
Gallicolumba tristigmata,Sulawesi ground dove,sugdov1,species,2390.0,SUGD SGDO,GATR,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Gallicolumba rufigula,Cinnamon ground dove,cigdov2,species,2394.0,CIGD CGDO,GARU,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Gallicolumba platenae,Mindoro bleeding-heart,mibhea2,species,2400.0,MIBH MBHE,GAPL,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Gallicolumba keayi,Negros bleeding-heart,nebhea1,species,2401.0,NEBH NBHE,GAKE,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Gallicolumba menagei,Sulu bleeding-heart,subhea1,species,2402.0,SBHE SUBH,GAME,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Gallicolumba luzonica,Luzon bleeding-heart,lubhea1,species,2403.0,LBHE LUBH,GALU,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Gallicolumba crinigera,Mindanao bleeding-heart,minblh1,species,2407.0,MIBH MBHE,GACR,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Microgoura meeki,Choiseul pigeon,chopig1,species,2411.0,CHPI,MIME,,Columbiformes,Pigeons and Doves,Columbidae,,true,1904,columb2
Trugon terrestris,Thick-billed ground-pigeon,tbgpig2,species,2412.0,TBGP,TRTE,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Otidiphaps nobilis,Pheasant pigeon,phepig1,species,2416.0,PHPI PPSP,OTNO,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Otidiphaps nobilis nobilis,Pheasant pigeon (Green-naped),phepig2,issf,2417.0,PHPI PPSP,OTNO,,Columbiformes,Pigeons and Doves,Columbidae,phepig1,,,columb2
Otidiphaps nobilis aruensis,Pheasant pigeon (White-naped),phepig3,issf,2418.0,PPSP PHPI,OTNO,,Columbiformes,Pigeons and Doves,Columbidae,phepig1,,,columb2
Otidiphaps nobilis cervicalis,Pheasant pigeon (Gray-naped),phepig4,issf,2419.0,PHPI PPSP,OTNO,,Columbiformes,Pigeons and Doves,Columbidae,phepig1,,,columb2
Otidiphaps nobilis insularis,Pheasant pigeon (Black-naped),phepig5,issf,2420.0,PPSP PHPI,OTNO,,Columbiformes,Pigeons and Doves,Columbidae,phepig1,,,columb2
Goura cristata,Western crowned-pigeon,wecpig1,species,2421.0,WCPI WECP,GOCR,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Goura sclaterii,Sclater's crowned-pigeon,soucrp1,species,2422.0,SCCP SCPI,GOSC,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Goura scheepmakeri,Scheepmaker's crowned-pigeon,soucrp2,species,2423.0,SCPI SCCP,GOSC,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Goura victoria,Victoria crowned-pigeon,vicpig1,species,2424.0,VICP VCPI,GOVI,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Goura sp.,crowned-pigeon sp.,crowne1,spuh,2427.0,,,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
Didunculus strigirostris,Tooth-billed pigeon,tobpig1,species,2428.0,TBPI,DIST,,Columbiformes,Pigeons and Doves,Columbidae,,,,columb2
